"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Sheet","FileName","Found","Column","Row","Url"
"5","insertValue","2019-03-05T15:44:31.962Z","type","3","Web","complete",,,,,,
"5","clickButton","2019-03-05T15:44:45.690Z","B4",,"Web","complete",,,,,,
"5","goToUrl","2019-03-05T15:44:49.170Z",,,"Web","complete",,,,,,"www.webpage.com"
"5","clickButton","2019-03-05T15:44:53.630Z","B5",,"Web","complete",,,,,,
"5","insertValue","2019-03-05T15:45:02.518Z","valueX","valuex2325","Web","complete",,,,,,
"5","clickButton","2019-03-05T15:45:07.135Z","Cancel",,"Web","complete",,,,,,
"6","insertValue","2019-03-05T15:45:17.135Z","name","name2672","Web","complete",,,,,,
"6","insertValue","2019-03-05T15:45:23.811Z","surname","surname2672","Web","complete",,,,,,
"6","insertValue","2019-03-05T15:45:23.811Z","age","33","Web","complete",,,,,,
"6","insertValue","2019-03-05T15:45:29.615Z","type","4","Web","complete",,,,,,
"6","openFile","2019-03-05T15:45:29.615Z",,,"Excel","complete","Sheet1","data.xls",,,,
"6","goToUrl","2019-03-05T15:45:38.187Z",,,"Web","complete",,,,,,"www.webpage.com"
"6","insertValue","2019-03-05T15:45:48.977Z","username","Frank01","Web","complete",,,,,,
"6","insertValue","2019-03-05T15:45:55.772Z","password","LittleFrank123","Web","complete",,,,,,
"6","clickButton","2019-03-05T15:46:00.352Z","confirm",,"Web","complete",,,,,,
"6","waitResponse","2019-03-05T15:46:03.653Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"6","clickButton","2019-03-05T15:46:14.112Z","Button1",,"Web","complete",,,,,,
"6","clickButton","2019-03-05T15:46:15.818Z","B2",,"Web","complete",,,,,,
"6","insertValue","2019-03-05T15:46:19.449Z","ID","182381","Web","complete",,,,,,
"6","copy","2019-03-05T15:46:22.493Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"6","paste","2019-03-05T15:46:25.374Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"6","copy","2019-03-05T15:46:27.142Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"6","paste","2019-03-05T15:46:30.026Z","Area","Melbourne 123","Web","complete",,,,,,
"6","clickButton","2019-03-05T15:46:32.138Z","B8",,"Web","complete",,,,,,
"7","insertValue","2019-03-05T15:46:42.138Z","name","name742","Web","complete",,,,,,
"7","insertValue","2019-03-05T15:46:48.648Z","surname","surname742","Web","complete",,,,,,
"7","insertValue","2019-03-05T15:46:58.620Z","age","49","Web","complete",,,,,,
"7","insertValue","2019-03-05T15:47:10.631Z","type","1","Web","complete",,,,,,
"7","clickButton","2019-03-05T15:47:20.777Z","B4",,"Web","complete",,,,,,
"7","openFile","2019-03-05T15:47:24.753Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"7","findValue","2019-03-05T15:47:27.396Z",,"1929","Excel","complete",,,"true",,,
"7","copy","2019-03-05T15:47:28.977Z",,"value742","Excel","complete",,,,"B","1",
"7","paste","2019-03-05T15:47:33.684Z",,"vaue742","Excel","complete",,,,"C","2",
"7","clickButton","2019-03-05T15:47:37.851Z","Cancel",,"Web","complete",,,,,,
"8","insertValue","2019-03-05T15:47:47.851Z","name","name1126","Web","complete",,,,,,
"8","insertValue","2019-03-05T15:47:48.167Z","surname","surname1126","Web","complete",,,,,,
"8","insertValue","2019-03-05T15:48:07.540Z","age","29","Web","complete",,,,,,
"8","insertValue","2019-03-05T15:48:14.509Z","type","3","Web","complete",,,,,,
"8","clickButton","2019-03-05T15:48:24.067Z","B4",,"Web","complete",,,,,,
"8","openFile","2019-03-05T15:48:25.734Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"8","findValue","2019-03-05T15:48:28.321Z",,"1395","Excel","complete",,,"true",,,
"8","copy","2019-03-05T15:48:31.559Z",,"value1126","Excel","complete",,,,"B","1",
"8","paste","2019-03-05T15:48:33.673Z","finalCode","vaue1126","Web","complete",,,,,,
"8","clickButton","2019-03-05T15:48:35.329Z","OK",,"Web","complete",,,,,,
"9","insertValue","2019-03-05T15:48:45.329Z","name","name2749","Web","complete",,,,,,
"9","insertValue","2019-03-05T15:48:59.153Z","surname","surname2749","Web","complete",,,,,,
"9","insertValue","2019-03-05T15:49:08.337Z","age","20","Web","complete",,,,,,
"9","insertValue","2019-03-05T15:49:21.212Z","type","4","Web","complete",,,,,,
"9","openFile","2019-03-05T15:49:29.477Z",,,"Excel","complete","Sheet1","data.xls",,,,
"9","goToUrl","2019-03-05T15:49:41.589Z",,,"Web","complete",,,,,,"www.webpage.com"
"9","insertValue","2019-03-05T15:49:52.503Z","username","Frank01","Web","complete",,,,,,
"9","insertValue","2019-03-05T15:49:56.356Z","password","LittleFrank123","Web","complete",,,,,,
"9","clickButton","2019-03-05T15:50:12.188Z","confirm",,"Web","complete",,,,,,
"9","waitResponse","2019-03-05T15:50:16.460Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"9","clickButton","2019-03-05T15:50:25.280Z","Button1",,"Web","complete",,,,,,
"9","clickButton","2019-03-05T15:50:28.506Z","B2",,"Web","complete",,,,,,
"9","insertValue","2019-03-05T15:50:32.397Z","ID","182381","Web","complete",,,,,,
"9","copy","2019-03-05T15:50:35.574Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"9","paste","2019-03-05T15:50:37.707Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"9","copy","2019-03-05T15:50:40.752Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"9","paste","2019-03-05T15:50:43.326Z","Area","Melbourne 123","Web","complete",,,,,,
"9","clickButton","2019-03-05T15:50:46.487Z","B8",,"Web","complete",,,,,,
"10","insertValue","2019-03-05T15:50:56.487Z","name","name623","Web","complete",,,,,,
"10","insertValue","2019-03-05T15:51:11.806Z","surname","surname623","Web","complete",,,,,,
"10","insertValue","2019-03-05T15:51:31.170Z","age","18","Web","complete",,,,,,
"10","insertValue","2019-03-05T15:51:34.855Z","type","1","Web","complete",,,,,,
"10","clickButton","2019-03-05T15:51:34.855Z","B4",,"Web","complete",,,,,,
"10","goToUrl","2019-03-05T15:51:40.959Z",,,"Web","complete",,,,,,"www.webpage.com"
"10","clickButton","2019-03-05T15:51:43.509Z","B5",,"Web","complete",,,,,,
"10","insertValue","2019-03-05T15:51:55.046Z","valueX","valuex623","Web","complete",,,,,,
"10","clickButton","2019-03-05T15:51:57.387Z","OK",,"Web","complete",,,,,,
"11","insertValue","2019-03-05T15:52:07.387Z","name","name822","Web","complete",,,,,,
"11","insertValue","2019-03-05T15:52:18.189Z","surname","surname822","Web","complete",,,,,,
"11","insertValue","2019-03-05T15:52:31.431Z","age","31","Web","complete",,,,,,
"11","insertValue","2019-03-05T15:52:35.906Z","type","2","Web","complete",,,,,,
"11","clickButton","2019-03-05T15:52:35.906Z","B4",,"Web","complete",,,,,,
"11","openFile","2019-03-05T15:52:38.598Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"11","findValue","2019-03-05T15:52:41.920Z",,"4389","Excel","complete",,,"true",,,
"11","copy","2019-03-05T15:52:44.968Z",,"value822","Excel","complete",,,,"B","1",
"11","paste","2019-03-05T15:52:46.498Z","finalCode","vaue822","Web","complete",,,,,,
"11","clickButton","2019-03-05T15:52:48.773Z","OK",,"Web","complete",,,,,,
"12","insertValue","2019-03-05T15:52:58.773Z","name","name503","Web","complete",,,,,,
"12","insertValue","2019-03-05T15:53:07.953Z","surname","surname503","Web","complete",,,,,,
"12","insertValue","2019-03-05T15:53:17.384Z","age","26","Web","complete",,,,,,
"12","insertValue","2019-03-05T15:53:28.802Z","type","4","Web","complete",,,,,,
"12","openFile","2019-03-05T15:53:36.113Z",,,"Excel","complete","Sheet1","data.xls",,,,
"12","goToUrl","2019-03-05T15:53:46.191Z",,,"Web","complete",,,,,,"www.webpage.com"
"12","insertValue","2019-03-05T15:53:59.607Z","username","Frank01","Web","complete",,,,,,
"12","insertValue","2019-03-05T15:54:11.010Z","password","LittleFrank123","Web","complete",,,,,,
"12","clickButton","2019-03-05T15:54:24.216Z","confirm",,"Web","complete",,,,,,
"12","waitResponse","2019-03-05T15:54:28.137Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"12","clickButton","2019-03-05T15:54:37.144Z","Button1",,"Web","complete",,,,,,
"12","clickButton","2019-03-05T15:54:40.750Z","B2",,"Web","complete",,,,,,
"12","insertValue","2019-03-05T15:54:44.962Z","ID","182381","Web","complete",,,,,,
"12","copy","2019-03-05T15:54:47.672Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"12","paste","2019-03-05T15:54:50.199Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"12","copy","2019-03-05T15:54:52.787Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"12","paste","2019-03-05T15:54:58.662Z","Area","Melbourne 123","Web","complete",,,,,,
"12","clickButton","2019-03-05T15:55:01.001Z","B8",,"Web","complete",,,,,,
"13","insertValue","2019-03-05T15:55:11.001Z","name","name1809","Web","complete",,,,,,
"13","insertValue","2019-03-05T15:55:11.968Z","surname","surname1809","Web","complete",,,,,,
"13","insertValue","2019-03-05T15:55:19.683Z","age","44","Web","complete",,,,,,
"13","insertValue","2019-03-05T15:55:28.858Z","type","3","Web","complete",,,,,,
"13","clickButton","2019-03-05T15:55:40.120Z","B1",,"Web","complete",,,,,,
"13","insertValue","2019-03-05T15:55:41.788Z",,"1420","Excel","complete",,,,"B","1",
"13","goToUrl","2019-03-05T15:55:47.364Z",,,"Web","complete",,,,,,"www.webpage2.com"
"13","copy","2019-03-05T15:55:54.030Z","value2","value1420","Web","complete",,,,,,
"13","paste","2019-03-05T15:55:56.705Z",,"vaue1420","Excel","complete",,,,"C","2",
"13","paste","2019-03-05T15:55:58.360Z","finalCode","vaue1420","Web","complete",,,,,,
"13","clickButton","2019-03-05T15:55:58.461Z","OK",,"Web","complete",,,,,,
"14","insertValue","2019-03-05T15:56:08.461Z","name","name1241","Web","complete",,,,,,
"14","insertValue","2019-03-05T15:56:15.103Z","surname","surname1241","Web","complete",,,,,,
"14","insertValue","2019-03-05T15:56:26.834Z","age","29","Web","complete",,,,,,
"14","insertValue","2019-03-05T15:56:33.461Z","type","2","Web","complete",,,,,,
"14","clickButton","2019-03-05T15:56:36.902Z","B4",,"Web","complete",,,,,,
"14","goToUrl","2019-03-05T15:56:40.955Z",,,"Web","complete",,,,,,"www.webpage.com"
"14","clickButton","2019-03-05T15:56:44.438Z","B5",,"Web","complete",,,,,,
"14","insertValue","2019-03-05T15:56:52.403Z","valueX","valuex1241","Web","complete",,,,,,
"14","clickButton","2019-03-05T15:56:54.404Z","Cancel",,"Web","complete",,,,,,
"15","insertValue","2019-03-05T15:57:04.404Z","name","name2715","Web","complete",,,,,,
"15","insertValue","2019-03-05T15:57:17.649Z","surname","surname2715","Web","complete",,,,,,
"15","insertValue","2019-03-05T15:57:29.362Z","age","44","Web","complete",,,,,,
"15","insertValue","2019-03-05T15:57:41.389Z","type","3","Web","complete",,,,,,
"15","clickButton","2019-03-05T15:57:47.979Z","B4",,"Web","complete",,,,,,
"15","goToUrl","2019-03-05T15:57:51.698Z",,,"Web","complete",,,,,,"www.webpage.com"
"15","clickButton","2019-03-05T15:57:53.434Z","B5",,"Web","complete",,,,,,
"15","insertValue","2019-03-05T15:57:55.928Z","valueX","valuex2715","Web","complete",,,,,,
"15","clickButton","2019-03-05T15:57:58.370Z","Cancel",,"Web","complete",,,,,,
"16","insertValue","2019-03-05T15:58:08.370Z","name","name2206","Web","complete",,,,,,
"16","insertValue","2019-03-05T15:58:19.402Z","surname","surname2206","Web","complete",,,,,,
"16","insertValue","2019-03-05T15:58:27.670Z","age","24","Web","complete",,,,,,
"16","insertValue","2019-03-05T15:58:35.943Z","type","1","Web","complete",,,,,,
"16","clickButton","2019-03-05T15:58:46.883Z","B4",,"Web","complete",,,,,,
"16","goToUrl","2019-03-05T15:58:50.614Z",,,"Web","complete",,,,,,"www.webpage.com"
"16","clickButton","2019-03-05T15:58:52.983Z","B5",,"Web","complete",,,,,,
"16","insertValue","2019-03-05T15:59:02.230Z","valueX","valuex2206","Web","complete",,,,,,
"16","clickButton","2019-03-05T15:59:03.903Z","OK",,"Web","complete",,,,,,
"17","insertValue","2019-03-05T15:59:13.903Z","name","name973","Web","complete",,,,,,
"17","insertValue","2019-03-05T15:59:20.763Z","surname","surname973","Web","complete",,,,,,
"17","insertValue","2019-03-05T15:59:25.203Z","age","50","Web","complete",,,,,,
"17","insertValue","2019-03-05T15:59:35.771Z","type","1","Web","complete",,,,,,
"17","clickButton","2019-03-05T15:59:37.822Z","B4",,"Web","complete",,,,,,
"17","openFile","2019-03-05T15:59:40.985Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"17","findValue","2019-03-05T15:59:44.523Z",,"4773","Excel","complete",,,"false",,,
"17","copy","2019-03-05T15:59:47.638Z",,"value973","Excel","complete",,,,"B","1",
"17","paste","2019-03-05T15:59:50.797Z","finalCode","vaue973","Web","complete",,,,,,
"17","clickButton","2019-03-05T15:59:56.153Z","Cancel",,"Web","complete",,,,,,
"18","insertValue","2019-03-05T16:00:06.153Z","name","name485","Web","complete",,,,,,
"18","insertValue","2019-03-05T16:00:12.509Z","surname","surname485","Web","complete",,,,,,
"18","insertValue","2019-03-05T16:00:19.273Z","age","39","Web","complete",,,,,,
"18","insertValue","2019-03-05T16:00:27.600Z","type","2","Web","complete",,,,,,
"18","clickButton","2019-03-05T16:00:37.508Z","B4",,"Web","complete",,,,,,
"18","goToUrl","2019-03-05T16:00:38.712Z",,,"Web","complete",,,,,,"www.webpage.com"
"18","clickButton","2019-03-05T16:00:42.440Z","B5",,"Web","complete",,,,,,
"18","insertValue","2019-03-05T16:00:49.297Z","valueX","valuex485","Web","complete",,,,,,
"18","clickButton","2019-03-05T16:00:50.036Z","Cancel",,"Web","complete",,,,,,
"19","insertValue","2019-03-05T16:01:00.036Z","name","name877","Web","complete",,,,,,
"19","insertValue","2019-03-05T16:01:03.524Z","surname","surname877","Web","complete",,,,,,
"19","insertValue","2019-03-05T16:01:12.461Z","age","20","Web","complete",,,,,,
"19","insertValue","2019-03-05T16:01:12.461Z","type","4","Web","complete",,,,,,
"19","openFile","2019-03-05T16:01:28.036Z",,,"Excel","complete","Sheet1","data.xls",,,,
"19","goToUrl","2019-03-05T16:01:33.030Z",,,"Web","complete",,,,,,"www.webpage.com"
"19","insertValue","2019-03-05T16:01:48.983Z","username","Frank01","Web","complete",,,,,,
"19","insertValue","2019-03-05T16:02:00.779Z","password","LittleFrank123","Web","complete",,,,,,
"19","clickButton","2019-03-05T16:02:07.910Z","confirm",,"Web","complete",,,,,,
"19","waitResponse","2019-03-05T16:02:09.129Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"19","clickButton","2019-03-05T16:02:19.795Z","Button1",,"Web","complete",,,,,,
"19","clickButton","2019-03-05T16:02:24.964Z","B2",,"Web","complete",,,,,,
"19","insertValue","2019-03-05T16:02:28.420Z","ID","182381","Web","complete",,,,,,
"19","copy","2019-03-05T16:02:32.112Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"19","paste","2019-03-05T16:02:34.491Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"19","copy","2019-03-05T16:02:37.383Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"19","paste","2019-03-05T16:02:40.711Z","Area","Melbourne 123","Web","complete",,,,,,
"19","clickButton","2019-03-05T16:02:45.696Z","B8",,"Web","complete",,,,,,
"20","insertValue","2019-03-05T16:02:55.696Z","name","name307","Web","complete",,,,,,
"20","insertValue","2019-03-05T16:03:03.324Z","surname","surname307","Web","complete",,,,,,
"20","insertValue","2019-03-05T16:03:16.386Z","age","19","Web","complete",,,,,,
"20","insertValue","2019-03-05T16:03:27.156Z","type","4","Web","complete",,,,,,
"20","openFile","2019-03-05T16:03:35.732Z",,,"Excel","complete","Sheet1","data.xls",,,,
"20","goToUrl","2019-03-05T16:03:42.639Z",,,"Web","complete",,,,,,"www.webpage.com"
"20","insertValue","2019-03-05T16:03:55.290Z","username","Frank01","Web","complete",,,,,,
"20","insertValue","2019-03-05T16:04:07.229Z","password","LittleFrank123","Web","complete",,,,,,
"20","clickButton","2019-03-05T16:04:19.945Z","confirm",,"Web","complete",,,,,,
"20","waitResponse","2019-03-05T16:04:22.996Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"20","clickButton","2019-03-05T16:04:36.224Z","Button1",,"Web","complete",,,,,,
"20","clickButton","2019-03-05T16:04:39.360Z","B2",,"Web","complete",,,,,,
"20","insertValue","2019-03-05T16:04:43.159Z","ID","182381","Web","complete",,,,,,
"20","copy","2019-03-05T16:04:45.620Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"20","paste","2019-03-05T16:04:48.059Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"20","copy","2019-03-05T16:04:51.167Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"20","paste","2019-03-05T16:04:55.839Z","Area","Melbourne 123","Web","complete",,,,,,
"20","clickButton","2019-03-05T16:04:58.660Z","B8",,"Web","complete",,,,,,
"21","insertValue","2019-03-05T16:05:08.660Z","name","name846","Web","complete",,,,,,
"21","insertValue","2019-03-05T16:05:10.636Z","surname","surname846","Web","complete",,,,,,
"21","insertValue","2019-03-05T16:05:18.145Z","age","20","Web","complete",,,,,,
"21","insertValue","2019-03-05T16:05:24.335Z","type","3","Web","complete",,,,,,
"21","clickButton","2019-03-05T16:05:30.530Z","B1",,"Web","complete",,,,,,
"21","insertValue","2019-03-05T16:05:31.675Z",,"4451","Excel","complete",,,,"B","8",
"21","goToUrl","2019-03-05T16:05:51.372Z",,,"Web","complete",,,,,,"www.webpage2.com"
"21","copy","2019-03-05T16:05:58.088Z","value2","value4451","Web","complete",,,,,,
"21","paste","2019-03-05T16:06:02.183Z",,"vaue4451","Excel","complete",,,,"C","2",
"21","paste","2019-03-05T16:06:04.227Z","finalCode","vaue4451","Web","complete",,,,,,
"21","clickButton","2019-03-05T16:06:08.990Z","Cancel",,"Web","complete",,,,,,
"22","insertValue","2019-03-05T16:06:18.990Z","name","name281","Web","complete",,,,,,
"22","insertValue","2019-03-05T16:06:37.051Z","surname","surname281","Web","complete",,,,,,
"22","insertValue","2019-03-05T16:06:46.815Z","age","24","Web","complete",,,,,,
"22","insertValue","2019-03-05T16:06:57.658Z","type","4","Web","complete",,,,,,
"22","openFile","2019-03-05T16:07:14.953Z",,,"Excel","complete","Sheet1","data.xls",,,,
"22","goToUrl","2019-03-05T16:07:16.883Z",,,"Web","complete",,,,,,"www.webpage.com"
"22","insertValue","2019-03-05T16:07:28.177Z","username","Frank01","Web","complete",,,,,,
"22","insertValue","2019-03-05T16:07:29.265Z","password","LittleFrank123","Web","complete",,,,,,
"22","clickButton","2019-03-05T16:07:39.785Z","confirm",,"Web","complete",,,,,,
"22","waitResponse","2019-03-05T16:07:43.501Z",,,"Web","complete",,,,,,"www.webpage.com/ok"
"22","clickButton","2019-03-05T16:07:53.899Z","Button1",,"Web","complete",,,,,,
"22","clickButton","2019-03-05T16:07:57.887Z","B2",,"Web","complete",,,,,,
"22","insertValue","2019-03-05T16:08:03.841Z","ID","182381","Web","complete",,,,,,
"22","copy","2019-03-05T16:08:08.646Z",,"Au 58124829 XT","Excel","complete",,,,"B","1",
"22","paste","2019-03-05T16:08:09.983Z","Special code","Au 58124829 XT","Web","complete",,,,,,
"22","copy","2019-03-05T16:08:12.042Z",,"Melbourne 123","Excel","complete",,,,"B","2",
"22","paste","2019-03-05T16:08:13.570Z","Area","Melbourne 123","Web","complete",,,,,,
"22","clickButton","2019-03-05T16:08:16.751Z","B8",,"Web","complete",,,,,,
"23","insertValue","2019-03-05T16:08:26.751Z","name","name734","Web","complete",,,,,,
"23","insertValue","2019-03-05T16:08:32.319Z","surname","surname734","Web","complete",,,,,,
"23","insertValue","2019-03-05T16:08:42.125Z","age","29","Web","complete",,,,,,
"23","insertValue","2019-03-05T16:08:50.231Z","type","1","Web","complete",,,,,,
"23","clickButton","2019-03-05T16:08:53.951Z","B4",,"Web","complete",,,,,,
"23","openFile","2019-03-05T16:08:54.920Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"23","findValue","2019-03-05T16:08:57.835Z",,"3268","Excel","complete",,,"true",,,
"23","copy","2019-03-05T16:09:01.590Z",,"value734","Excel","complete",,,,"B","1",
"23","paste","2019-03-05T16:09:04.145Z",,"vaue734","Excel","complete",,,,"C","2",
"23","paste","2019-03-05T16:09:07.877Z","finalCode","vaue734","Web","complete",,,,,,
"23","clickButton","2019-03-05T16:09:11.176Z","OK",,"Web","complete",,,,,,
"24","insertValue","2019-03-05T16:09:21.176Z","name","name2135","Web","complete",,,,,,
"24","insertValue","2019-03-05T16:09:41.299Z","surname","surname2135","Web","complete",,,,,,
"24","insertValue","2019-03-05T16:09:47.303Z","age","27","Web","complete",,,,,,
"24","insertValue","2019-03-05T16:09:58.131Z","type","2","Web","complete",,,,,,
"24","clickButton","2019-03-05T16:10:02.155Z","B4",,"Web","complete",,,,,,
"24","openFile","2019-03-05T16:10:04.760Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"24","findValue","2019-03-05T16:10:06.617Z",,"1452","Excel","complete",,,"true",,,
"24","copy","2019-03-05T16:10:10.766Z",,"value2135","Excel","complete",,,,"B","1",
"24","paste","2019-03-05T16:10:13.106Z",,"vaue2135","Excel","complete",,,,"C","2",
"24","paste","2019-03-05T16:10:17.062Z","finalCode","vaue2135","Web","complete",,,,,,
"24","clickButton","2019-03-05T16:10:19.160Z","OK",,"Web","complete",,,,,,
"25","insertValue","2019-03-05T16:10:29.160Z","name","name2383","Web","complete",,,,,,
"25","insertValue","2019-03-05T16:10:31.477Z","surname","surname2383","Web","complete",,,,,,
"25","insertValue","2019-03-05T16:10:45.277Z","age","27","Web","complete",,,,,,
"25","insertValue","2019-03-05T16:10:53.399Z","type","3","Web","complete",,,,,,
"25","clickButton","2019-03-05T16:10:58.837Z","B4",,"Web","complete",,,,,,
"25","goToUrl","2019-03-05T16:11:00.370Z",,,"Web","complete",,,,,,"www.webpage.com"
"25","clickButton","2019-03-05T16:11:03.843Z","B5",,"Web","complete",,,,,,
"25","insertValue","2019-03-05T16:11:12.108Z","valueX","valuex2383","Web","complete",,,,,,
"25","clickButton","2019-03-05T16:11:15.743Z","OK",,"Web","complete",,,,,,
"26","insertValue","2019-03-05T16:11:25.743Z","name","name2273","Web","complete",,,,,,
"26","insertValue","2019-03-05T16:11:25.743Z","surname","surname2273","Web","complete",,,,,,
"26","insertValue","2019-03-05T16:11:36.222Z","age","25","Web","complete",,,,,,
"26","insertValue","2019-03-05T16:11:54.882Z","type","1","Web","complete",,,,,,
"26","clickButton","2019-03-05T16:12:01.621Z","B4",,"Web","complete",,,,,,
"26","openFile","2019-03-05T16:12:04.905Z",,,"Excel","complete","Sheet1","data123.xls",,,,
"26","findValue","2019-03-05T16:12:08.068Z",,"1448","Excel","complete",,,"true",,,
"26","copy","2019-03-05T16:12:11.705Z",,"value2273","Excel","complete",,,,"B","1",
