"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Column","Row","Sheet","FileName","Url","Found"
"6","clickButton","2019-03-05T11:46:37.434Z","open",,"Web","complete",,,,,,
"6","copy","2019-03-05T11:46:41.788Z","code","18","Web","complete",,,,,,
"6","paste","2019-03-05T11:46:44.603Z","name","18","Excel","complete","B","578",,,,
"6","clickButton","2019-03-05T11:46:49.389Z","cancel",,"Web","complete",,,,,,
"6","clickButton","2019-03-05T11:46:52.686Z","OK",,"Web","complete",,,,,,
"7","insertValue","2019-03-05T11:47:02.686Z","value1","value1877","Web","complete",,,,,,
"7","insertValue","2019-03-05T11:47:19.097Z","code","20","Web","complete",,,,,,
"7","clickButton","2019-03-05T11:47:27.513Z","B7",,"Web","complete",,,,,,
"7","goToUrl","2019-03-05T11:47:30.754Z",,,"Web","complete",,,,,"www.webpage2.com",
"7","clickButton","2019-03-05T11:47:41.189Z","open",,"Web","complete",,,,,,
"7","openFile","2019-03-05T11:47:43.522Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"7","copy","2019-03-05T11:47:46.727Z","code","20","Web","complete",,,,,,
"7","paste","2019-03-05T11:47:47.994Z","name","20","Excel","complete","B","1947",,,,
"7","clickButton","2019-03-05T11:47:51.482Z","cancel",,"Web","complete",,,,,,
"7","clickButton","2019-03-05T11:47:53.784Z","OK",,"Web","complete",,,,,,
"8","insertValue","2019-03-05T11:48:03.784Z","value1","value440","Web","complete",,,,,,
"8","insertValue","2019-03-05T11:48:05.950Z","code","24","Web","complete",,,,,,
"8","clickButton","2019-03-05T11:48:21.485Z","B6",,"Web","complete",,,,,,
"8","clickButton","2019-03-05T11:48:24.529Z","open",,"Web","complete",,,,,,
"8","copy","2019-03-05T11:48:27.410Z","code","24","Web","complete",,,,,,
"8","paste","2019-03-05T11:48:29.178Z","name","24","Excel","complete","B","631",,,,
"8","clickButton","2019-03-05T11:48:32.062Z","cancel",,"Web","complete",,,,,,
"8","clickButton","2019-03-05T11:48:34.174Z","OK",,"Web","complete",,,,,,
"9","insertValue","2019-03-05T11:48:44.174Z","value1","value1634","Web","complete",,,,,,
"9","insertValue","2019-03-05T11:48:50.684Z","code","27","Web","complete",,,,,,
"9","clickButton","2019-03-05T11:49:03.222Z","B7",,"Web","complete",,,,,,
"9","goToUrl","2019-03-05T11:49:04.599Z",,,"Web","complete",,,,,"www.webpage2.com",
"9","clickButton","2019-03-05T11:49:14.745Z","open",,"Web","complete",,,,,,
"9","openFile","2019-03-05T11:49:18.721Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"9","copy","2019-03-05T11:49:21.364Z","code","27","Web","complete",,,,,,
"9","paste","2019-03-05T11:49:22.945Z","name","27","Excel","complete","B","1443",,,,
"9","goToUrl","2019-03-05T11:49:27.652Z",,,"Web","complete",,,,,"www.webpage.com",
"9","clickButton","2019-03-05T11:49:41.486Z","OK",,"Web","complete",,,,,,
"10","insertValue","2019-03-05T11:49:51.486Z","value1","value1487","Web","complete",,,,,,
"10","insertValue","2019-03-05T11:49:51.802Z","code","22","Web","complete",,,,,,
"10","clickButton","2019-03-05T11:50:11.175Z","B7",,"Web","complete",,,,,,
"10","goToUrl","2019-03-05T11:50:13.969Z",,,"Web","complete",,,,,"www.webpage2.com",
"10","clickButton","2019-03-05T11:50:23.527Z","open",,"Web","complete",,,,,,
"10","openFile","2019-03-05T11:50:25.194Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"10","copy","2019-03-05T11:50:27.781Z","code","22","Web","complete",,,,,,
"10","paste","2019-03-05T11:50:31.019Z","name","22","Excel","complete","B","1826",,,,
"10","clickButton","2019-03-05T11:50:33.133Z","add",,"Web","complete",,,,,,
"10","clickButton","2019-03-05T11:50:34.789Z","OK",,"Web","complete",,,,,,
"11","insertValue","2019-03-05T11:50:44.789Z","value1","value140","Web","complete",,,,,,
"11","insertValue","2019-03-05T11:50:58.613Z","code","21","Web","complete",,,,,,
"11","clickButton","2019-03-05T11:50:59.506Z","B7",,"Web","complete",,,,,,
"11","goToUrl","2019-03-05T11:51:01.467Z",,,"Web","complete",,,,,"www.webpage2.com",
"11","clickButton","2019-03-05T11:51:09.732Z","open",,"Web","complete",,,,,,
"11","openFile","2019-03-05T11:51:13.555Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"11","findValue","2019-03-05T11:51:17.138Z",,"name448","Excel","complete",,,,,,"false"
"11","clickButton","2019-03-05T11:51:19.309Z","cancel",,"Web","complete",,,,,,
"11","clickButton","2019-03-05T11:51:23.876Z","OK",,"Web","complete",,,,,,
"12","insertValue","2019-03-05T11:51:33.876Z","value1","value312","Web","complete",,,,,,
"12","insertValue","2019-03-05T11:51:48.234Z","code","35","Web","complete",,,,,,
"12","clickButton","2019-03-05T11:51:51.143Z","B7",,"Web","complete",,,,,,
"12","clickButton","2019-03-05T11:51:52.482Z","open",,"Web","complete",,,,,,
"12","copy","2019-03-05T11:51:54.449Z","code","35","Web","complete",,,,,,
"12","paste","2019-03-05T11:51:55.027Z","name","35","Excel","complete","B","1807",,,,
"12","clickButton","2019-03-05T11:51:58.998Z","add",,"Web","complete",,,,,,
"12","clickButton","2019-03-05T11:52:01.308Z","OK",,"Web","complete",,,,,,
"13","insertValue","2019-03-05T11:52:11.308Z","value1","value665","Web","complete",,,,,,
"13","insertValue","2019-03-05T11:52:25.606Z","code","18","Web","complete",,,,,,
"13","clickButton","2019-03-05T11:52:34.640Z","B6",,"Web","complete",,,,,,
"13","goToUrl","2019-03-05T11:52:39.150Z",,,"Web","complete",,,,,"www.webpage2.com",
"13","clickButton","2019-03-05T11:52:51.572Z","open",,"Web","complete",,,,,,
"13","openFile","2019-03-05T11:52:55.439Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"13","copy","2019-03-05T11:52:58.479Z","code","18","Web","complete",,,,,,
"13","paste","2019-03-05T11:53:01.329Z","name","18","Excel","complete","B","1493",,,,
"13","goToUrl","2019-03-05T11:53:04.176Z",,,"Web","complete",,,,,"www.webpage.com",
"13","clickButton","2019-03-05T11:53:09.657Z","OK",,"Web","complete",,,,,,
"14","insertValue","2019-03-05T11:53:19.657Z","value1","value343","Web","complete",,,,,,
"14","insertValue","2019-03-05T11:53:27.761Z","code","23","Web","complete",,,,,,
"14","clickButton","2019-03-05T11:53:37.722Z","B7",,"Web","complete",,,,,,
"14","clickButton","2019-03-05T11:53:40.856Z","open",,"Web","complete",,,,,,
"14","openFile","2019-03-05T11:53:44.552Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"14","copy","2019-03-05T11:53:47.082Z","code","23","Web","complete",,,,,,
"14","paste","2019-03-05T11:53:49.337Z","name","23","Excel","complete","B","1230",,,,
"14","clickButton","2019-03-05T11:53:53.530Z","cancel",,"Web","complete",,,,,,
"14","clickButton","2019-03-05T11:53:56.519Z","OK",,"Web","complete",,,,,,
"15","insertValue","2019-03-05T11:54:06.519Z","value1","value1864","Web","complete",,,,,,
"15","insertValue","2019-03-05T11:54:10.772Z","code","19","Web","complete",,,,,,
"15","clickButton","2019-03-05T11:54:20.203Z","B6",,"Web","complete",,,,,,
"15","goToUrl","2019-03-05T11:54:23.887Z",,,"Web","complete",,,,,"www.webpage2.com",
"15","clickButton","2019-03-05T11:54:37.829Z","open",,"Web","complete",,,,,,
"15","copy","2019-03-05T11:54:40.061Z","code","19","Web","complete",,,,,,
"15","paste","2019-03-05T11:54:41.616Z","name","19","Excel","complete","B","1409",,,,
"15","clickButton","2019-03-05T11:54:45.175Z","add",,"Web","complete",,,,,,
"15","clickButton","2019-03-05T11:54:46.567Z","OK",,"Web","complete",,,,,,
"16","insertValue","2019-03-05T11:54:56.567Z","value1","value1123","Web","complete",,,,,,
"16","insertValue","2019-03-05T11:55:12.057Z","code","25","Web","complete",,,,,,
"16","clickButton","2019-03-05T11:55:21.064Z","B6",,"Web","complete",,,,,,
"16","clickButton","2019-03-05T11:55:24.670Z","open",,"Web","complete",,,,,,
"16","copy","2019-03-05T11:55:28.882Z","code","25","Web","complete",,,,,,
"16","paste","2019-03-05T11:55:31.592Z","name","25","Excel","complete","B","1918",,,,
"16","goToUrl","2019-03-05T11:55:34.119Z",,,"Web","complete",,,,,"www.webpage.com",
"16","clickButton","2019-03-05T11:55:40.055Z","OK",,"Web","complete",,,,,,
"17","insertValue","2019-03-05T11:55:50.055Z","value1","value1503","Web","complete",,,,,,
"17","insertValue","2019-03-05T11:56:12.428Z","code","27","Web","complete",,,,,,
"17","clickButton","2019-03-05T11:56:17.123Z","B7",,"Web","complete",,,,,,
"17","goToUrl","2019-03-05T11:56:21.273Z",,,"Web","complete",,,,,"www.webpage2.com",
"17","clickButton","2019-03-05T11:56:28.284Z","open",,"Web","complete",,,,,,
"17","openFile","2019-03-05T11:56:31.519Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"17","findValue","2019-03-05T11:56:35.172Z",,"name777","Excel","complete",,,,,,"false"
"17","clickButton","2019-03-05T11:56:36.840Z","cancel",,"Web","complete",,,,,,
"17","clickButton","2019-03-05T11:56:39.356Z","OK",,"Web","complete",,,,,,
"18","insertValue","2019-03-05T11:56:49.356Z","value1","value1574","Web","complete",,,,,,
"18","insertValue","2019-03-05T11:56:56.022Z","code","29","Web","complete",,,,,,
"18","clickButton","2019-03-05T11:57:02.395Z","B7",,"Web","complete",,,,,,
"18","clickButton","2019-03-05T11:57:05.284Z","open",,"Web","complete",,,,,,
"18","copy","2019-03-05T11:57:07.415Z","code","29","Web","complete",,,,,,
"18","paste","2019-03-05T11:57:11.516Z","name","29","Excel","complete","B","1827",,,,
"18","clickButton","2019-03-05T11:57:15.593Z","cancel",,"Web","complete",,,,,,
"18","clickButton","2019-03-05T11:57:18.319Z","OK",,"Web","complete",,,,,,
"19","insertValue","2019-03-05T11:57:28.319Z","value1","value1909","Web","complete",,,,,,
"19","insertValue","2019-03-05T11:57:31.760Z","code","26","Web","complete",,,,,,
"19","clickButton","2019-03-05T11:57:31.760Z","B6",,"Web","complete",,,,,,
"19","goToUrl","2019-03-05T11:57:33.319Z",,,"Web","complete",,,,,"www.webpage2.com",
"19","clickButton","2019-03-05T11:57:37.803Z","open",,"Web","complete",,,,,,
"19","copy","2019-03-05T11:57:41.093Z","code","26","Web","complete",,,,,,
"19","paste","2019-03-05T11:57:45.954Z","name","26","Excel","complete","B","429",,,,
"19","clickButton","2019-03-05T11:57:47.867Z","add",,"Web","complete",,,,,,
"19","clickButton","2019-03-05T11:57:51.673Z","OK",,"Web","complete",,,,,,
"20","insertValue","2019-03-05T11:58:01.673Z","value1","value1825","Web","complete",,,,,,
"20","insertValue","2019-03-05T11:58:08.263Z","code","28","Web","complete",,,,,,
"20","clickButton","2019-03-05T11:58:13.300Z","B6",,"Web","complete",,,,,,
"20","goToUrl","2019-03-05T11:58:16.427Z",,,"Web","complete",,,,,"www.webpage2.com",
"20","clickButton","2019-03-05T11:58:26.989Z","open",,"Web","complete",,,,,,
"20","copy","2019-03-05T11:58:29.070Z","code","28","Web","complete",,,,,,
"20","paste","2019-03-05T11:58:29.769Z","name","28","Excel","complete","B","957",,,,
"20","clickButton","2019-03-05T11:58:34.570Z","add",,"Web","complete",,,,,,
"20","clickButton","2019-03-05T11:58:37.625Z","OK",,"Web","complete",,,,,,
"21","insertValue","2019-03-05T11:58:47.625Z","value1","value1163","Web","complete",,,,,,
"21","insertValue","2019-03-05T11:58:58.565Z","code","28","Web","complete",,,,,,
"21","clickButton","2019-03-05T11:59:04.564Z","B6",,"Web","complete",,,,,,
"21","goToUrl","2019-03-05T11:59:07.848Z",,,"Web","complete",,,,,"www.webpage2.com",
"21","clickButton","2019-03-05T11:59:15.985Z","open",,"Web","complete",,,,,,
"21","openFile","2019-03-05T11:59:18.280Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"21","copy","2019-03-05T11:59:21.881Z","code","28","Web","complete",,,,,,
"21","paste","2019-03-05T11:59:24.289Z","name","28","Excel","complete","B","1258",,,,
"21","clickButton","2019-03-05T11:59:27.803Z","cancel",,"Web","complete",,,,,,
"21","clickButton","2019-03-05T11:59:29.614Z","OK",,"Web","complete",,,,,,
"22","insertValue","2019-03-05T11:59:39.614Z","value1","value776","Web","complete",,,,,,
"22","insertValue","2019-03-05T11:59:48.427Z","code","48","Web","complete",,,,,,
"22","clickButton","2019-03-05T11:59:59.114Z","B6",,"Web","complete",,,,,,
"22","goToUrl","2019-03-05T12:00:03.928Z",,,"Web","complete",,,,,"www.webpage2.com",
"22","clickButton","2019-03-05T12:00:15.463Z","open",,"Web","complete",,,,,,
"22","openFile","2019-03-05T12:00:18.670Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"22","findValue","2019-03-05T12:00:21.628Z",,"name90","Excel","complete",,,,,,"true"
"22","clickButton","2019-03-05T12:00:25.578Z","add",,"Web","complete",,,,,,
"22","clickButton","2019-03-05T12:00:27.769Z","OK",,"Web","complete",,,,,,
"23","insertValue","2019-03-05T12:00:37.769Z","value1","value1067","Web","complete",,,,,,
"23","insertValue","2019-03-05T12:00:47.677Z","code","28","Web","complete",,,,,,
"23","clickButton","2019-03-05T12:00:47.677Z","B7",,"Web","complete",,,,,,
"23","clickButton","2019-03-05T12:00:50.976Z","open",,"Web","complete",,,,,,
"23","openFile","2019-03-05T12:00:54.077Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"23","copy","2019-03-05T12:00:57.075Z","code","28","Web","complete",,,,,,
"23","paste","2019-03-05T12:01:01.152Z","name","28","Excel","complete","B","1076",,,,
"23","clickButton","2019-03-05T12:01:04.879Z","cancel",,"Web","complete",,,,,,
"23","clickButton","2019-03-05T12:01:07.910Z","OK",,"Web","complete",,,,,,
"24","insertValue","2019-03-05T12:01:17.910Z","value1","value56","Web","complete",,,,,,
"24","insertValue","2019-03-05T12:01:33.485Z","code","24","Web","complete",,,,,,
"24","clickButton","2019-03-05T12:01:38.479Z","B7",,"Web","complete",,,,,,
"24","goToUrl","2019-03-05T12:01:42.171Z",,,"Web","complete",,,,,"www.webpage2.com",
"24","clickButton","2019-03-05T12:02:01.143Z","open",,"Web","complete",,,,,,
"24","copy","2019-03-05T12:02:04.825Z","code","24","Web","complete",,,,,,
"24","paste","2019-03-05T12:02:08.216Z","name","24","Excel","complete","B","595",,,,
"24","clickButton","2019-03-05T12:02:10.776Z","cancel",,"Web","complete",,,,,,
"24","clickButton","2019-03-05T12:02:12.070Z","OK",,"Web","complete",,,,,,
"25","insertValue","2019-03-05T12:02:22.070Z","value1","value1616","Web","complete",,,,,,
"25","insertValue","2019-03-05T12:02:34.133Z","code","26","Web","complete",,,,,,
"25","clickButton","2019-03-05T12:02:34.133Z","B6",,"Web","complete",,,,,,
"25","goToUrl","2019-03-05T12:02:37.461Z",,,"Web","complete",,,,,"www.webpage2.com",
"25","clickButton","2019-03-05T12:02:55.384Z","open",,"Web","complete",,,,,,
"25","openFile","2019-03-05T12:02:58.310Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"25","copy","2019-03-05T12:03:02.323Z","code","26","Web","complete",,,,,,
"25","paste","2019-03-05T12:03:06.381Z","name","26","Excel","complete","B","1806",,,,
"25","clickButton","2019-03-05T12:03:07.967Z","add",,"Web","complete",,,,,,
"25","clickButton","2019-03-05T12:03:09.219Z","OK",,"Web","complete",,,,,,
"26","insertValue","2019-03-05T12:03:19.219Z","value1","value1548","Web","complete",,,,,,
"26","insertValue","2019-03-05T12:03:19.219Z","code","18","Web","complete",,,,,,
"26","clickButton","2019-03-05T12:03:31.158Z","B7",,"Web","complete",,,,,,
"26","clickButton","2019-03-05T12:03:35.102Z","open",,"Web","complete",,,,,,
"26","copy","2019-03-05T12:03:38.153Z","code","18","Web","complete",,,,,,
"26","paste","2019-03-05T12:03:42.199Z","name","18","Excel","complete","B","69",,,,
"26","goToUrl","2019-03-05T12:03:45.335Z",,,"Web","complete",,,,,"www.webpage.com",
"26","clickButton","2019-03-05T12:03:57.327Z","OK",,"Web","complete",,,,,,
"27","insertValue","2019-03-05T12:04:07.327Z","value1","value1558","Web","complete",,,,,,
"27","insertValue","2019-03-05T12:04:12.630Z","code","20","Web","complete",,,,,,
"27","clickButton","2019-03-05T12:04:17.823Z","B6",,"Web","complete",,,,,,
"27","goToUrl","2019-03-05T12:04:19.152Z",,,"Web","complete",,,,,"www.webpage2.com",
"27","clickButton","2019-03-05T12:04:28.417Z","open",,"Web","complete",,,,,,
"27","copy","2019-03-05T12:04:32.145Z","code","20","Web","complete",,,,,,
"27","paste","2019-03-05T12:04:34.814Z","name","20","Excel","complete","B","1420",,,,
"27","clickButton","2019-03-05T12:04:37.761Z","cancel",,"Web","complete",,,,,,
"27","clickButton","2019-03-05T12:04:41.591Z","OK",,"Web","complete",,,,,,
"28","insertValue","2019-03-05T12:04:51.591Z","value1","value216","Web","complete",,,,,,
"28","insertValue","2019-03-05T12:04:57.786Z","code","25","Web","complete",,,,,,
"28","clickButton","2019-03-05T12:04:57.786Z","B7",,"Web","complete",,,,,,
"28","clickButton","2019-03-05T12:05:00.678Z","open",,"Web","complete",,,,,,
"28","copy","2019-03-05T12:05:03.832Z","code","25","Web","complete",,,,,,
"28","paste","2019-03-05T12:05:07.318Z","name","25","Excel","complete","B","738",,,,
"28","clickButton","2019-03-05T12:05:10.405Z","cancel",,"Web","complete",,,,,,
"28","clickButton","2019-03-05T12:05:14.017Z","OK",,"Web","complete",,,,,,
"29","insertValue","2019-03-05T12:05:24.017Z","value1","value1360","Web","complete",,,,,,
"29","insertValue","2019-03-05T12:05:24.017Z","code","19","Web","complete",,,,,,
"29","clickButton","2019-03-05T12:05:39.378Z","B6",,"Web","complete",,,,,,
"29","goToUrl","2019-03-05T12:05:43.249Z",,,"Web","complete",,,,,"www.webpage2.com",
"29","clickButton","2019-03-05T12:05:50.447Z","open",,"Web","complete",,,,,,
"29","openFile","2019-03-05T12:05:53.857Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"29","copy","2019-03-05T12:05:56.597Z","code","19","Web","complete",,,,,,
"29","paste","2019-03-05T12:05:59.026Z","name","19","Excel","complete","B","898",,,,
"29","goToUrl","2019-03-05T12:06:00.172Z",,,"Web","complete",,,,,"www.webpage.com",
"29","clickButton","2019-03-05T12:06:05.333Z","OK",,"Web","complete",,,,,,
"30","insertValue","2019-03-05T12:06:15.333Z","value1","value679","Web","complete",,,,,,
"30","insertValue","2019-03-05T12:06:32.621Z","code","19","Web","complete",,,,,,
"30","clickButton","2019-03-05T12:06:40.768Z","B7",,"Web","complete",,,,,,
"30","goToUrl","2019-03-05T12:06:42.105Z",,,"Web","complete",,,,,"www.webpage2.com",
"30","clickButton","2019-03-05T12:06:45.398Z","open",,"Web","complete",,,,,,
"30","copy","2019-03-05T12:06:46.926Z","code","19","Web","complete",,,,,,
"30","paste","2019-03-05T12:06:50.107Z","name","19","Excel","complete","B","574",,,,
"30","clickButton","2019-03-05T12:06:52.621Z","add",,"Web","complete",,,,,,
"30","clickButton","2019-03-05T12:06:55.983Z","OK",,"Web","complete",,,,,,
"31","insertValue","2019-03-05T12:07:05.983Z","value1","value894","Web","complete",,,,,,
"31","insertValue","2019-03-05T12:07:10.984Z","code","27","Web","complete",,,,,,
"31","clickButton","2019-03-05T12:07:10.984Z","B6",,"Web","complete",,,,,,
"31","clickButton","2019-03-05T12:07:11.953Z","open",,"Web","complete",,,,,,
"31","copy","2019-03-05T12:07:14.868Z","code","27","Web","complete",,,,,,
"31","paste","2019-03-05T12:07:18.623Z","name","27","Excel","complete","B","1699",,,,
"31","clickButton","2019-03-05T12:07:21.178Z","cancel",,"Web","complete",,,,,,
"31","clickButton","2019-03-05T12:07:24.910Z","OK",,"Web","complete",,,,,,
"32","insertValue","2019-03-05T12:07:34.910Z","value1","value185","Web","complete",,,,,,
"32","insertValue","2019-03-05T12:07:44.401Z","code","28","Web","complete",,,,,,
"32","clickButton","2019-03-05T12:07:51.694Z","B7",,"Web","complete",,,,,,
"32","goToUrl","2019-03-05T12:07:54.875Z",,,"Web","complete",,,,,"www.webpage2.com",
"32","clickButton","2019-03-05T12:08:05.703Z","open",,"Web","complete",,,,,,
"32","openFile","2019-03-05T12:08:07.908Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"32","findValue","2019-03-05T12:08:10.513Z",,"name1085","Excel","complete",,,,,,"true"
"32","clickButton","2019-03-05T12:08:12.370Z","cancel",,"Web","complete",,,,,,
"32","clickButton","2019-03-05T12:08:16.519Z","OK",,"Web","complete",,,,,,
"33","insertValue","2019-03-05T12:08:26.519Z","value1","value855","Web","complete",,,,,,
"33","insertValue","2019-03-05T12:08:31.216Z","code","27","Web","complete",,,,,,
"33","clickButton","2019-03-05T12:08:38.939Z","B7",,"Web","complete",,,,,,
"33","clickButton","2019-03-05T12:08:42.443Z","open",,"Web","complete",,,,,,
"33","copy","2019-03-05T12:08:44.060Z","code","27","Web","complete",,,,,,
"33","paste","2019-03-05T12:08:47.299Z","name","27","Excel","complete","B","426",,,,
"33","clickButton","2019-03-05T12:08:50.324Z","add",,"Web","complete",,,,,,
"33","clickButton","2019-03-05T12:08:52.812Z","OK",,"Web","complete",,,,,,
"34","insertValue","2019-03-05T12:09:02.812Z","value1","value305","Web","complete",,,,,,
"34","insertValue","2019-03-05T12:09:03.477Z","code","35","Web","complete",,,,,,
"34","clickButton","2019-03-05T12:09:13.838Z","B6",,"Web","complete",,,,,,
"34","clickButton","2019-03-05T12:09:16.903Z","open",,"Web","complete",,,,,,
"34","openFile","2019-03-05T12:09:21.600Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"34","copy","2019-03-05T12:09:23.570Z","code","35","Web","complete",,,,,,
"34","paste","2019-03-05T12:09:27.295Z","name","35","Excel","complete","B","1728",,,,
"34","goToUrl","2019-03-05T12:09:32.427Z",,,"Web","complete",,,,,"www.webpage.com",
"34","clickButton","2019-03-05T12:09:39.166Z","OK",,"Web","complete",,,,,,
"35","insertValue","2019-03-05T12:09:49.166Z","value1","value1280","Web","complete",,,,,,
"35","insertValue","2019-03-05T12:09:58.583Z","code","29","Web","complete",,,,,,
"35","clickButton","2019-03-05T12:10:07.398Z","B7",,"Web","complete",,,,,,
"35","clickButton","2019-03-05T12:10:09.934Z","open",,"Web","complete",,,,,,
"35","copy","2019-03-05T12:10:12.728Z","code","29","Web","complete",,,,,,
"35","paste","2019-03-05T12:10:16.124Z","name","29","Excel","complete","B","672",,,,
"35","goToUrl","2019-03-05T12:10:18.973Z",,,"Web","complete",,,,,"www.webpage.com",
"35","clickButton","2019-03-05T12:10:27.283Z","OK",,"Web","complete",,,,,,
"36","insertValue","2019-03-05T12:10:37.283Z","value1","value398","Web","complete",,,,,,
"36","insertValue","2019-03-05T12:10:39.237Z","code","25","Web","complete",,,,,,
"36","clickButton","2019-03-05T12:10:49.113Z","B7",,"Web","complete",,,,,,
"36","clickButton","2019-03-05T12:10:53.765Z","open",,"Web","complete",,,,,,
"36","openFile","2019-03-05T12:10:57.965Z",,,"Excel","complete",,,"Sheet1","data123.xls",,
"36","copy","2019-03-05T12:11:01.379Z","code","25","Web","complete",,,,,,
