"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Key","ref","Sheet","FileName","Column","Row","Url","FilePath","FileExtension","NameFile","Found"
"1","clickButton","2019-03-07T13:11:56.825Z","Button6",,"Web","complete",,,,,,,,,,,
"1","openFile","2019-03-07T13:11:59.424Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"1","copy","2019-03-07T13:12:04.851Z",,"value850","Excel","complete",,,,,"B","90",,,,,
"1","paste","2019-03-07T13:12:07.455Z","Special code","value850","Web","complete",,,,,,,,,,,
"1","paste","2019-03-07T13:12:10.021Z","Country","Other","Web","complete",,,,,,,,,,,
"1","clickButton","2019-03-07T13:12:14.290Z","Button9",,"Web","complete",,,,,,,,,,,
"1","goToUrl","2019-03-07T13:12:16.632Z",,,"Web","complete",,,,,,,"www.webpage2.com",,,,
"1","clickButton","2019-03-07T13:12:21.812Z","OK",,"Web","complete",,,,,,,,,,,
"2","insertValue","2019-03-07T13:12:31.812Z","name","name2590","Web","complete",,,,,,,,,,,
"2","insertValue","2019-03-07T13:12:43.725Z","surname","surname2590","Web","complete",,,,,,,,,,,
"2","insertValue","2019-03-07T13:12:52.065Z","age","age26","Web","complete",,,,,,,,,,,
"2","insertValue","2019-03-07T13:12:56.596Z","type","T2","Web","complete",,,,,,,,,,,
"2","clickButton","2019-03-07T13:13:13.206Z","confirm",,"Web","complete",,,,,,,,,,,
"2","clickButton","2019-03-07T13:13:15.470Z","B3",,"Web","complete",,,,,,,,,,,
"2","clickButton","2019-03-07T13:13:19.458Z","Button6",,"Web","complete",,,,,,,,,,,
"2","openFile","2019-03-07T13:13:23.795Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"2","copy","2019-03-07T13:13:29.203Z",,"value267","Excel","complete",,,,,"A","81",,,,,
"2","paste","2019-03-07T13:13:32.691Z","Special code","value267","Web","complete",,,,,,,,,,,
"2","clickButton","2019-03-07T13:13:34.700Z","OK",,"Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:13:44.700Z","name","name2904","Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:13:50.822Z","surname","surname2904","Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:13:57.534Z","age","age26","Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:14:02.776Z","type","T3","Web","complete",,,,,,,,,,,
"3","clickButton","2019-03-07T13:14:02.776Z","confirm",,"Web","complete",,,,,,,,,,,
"3","clickButton","2019-03-07T13:14:07.885Z","B4",,"Web","complete",,,,,,,,,,,
"3","clickButton","2019-03-07T13:14:10.560Z","Clients",,"Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:14:12.518Z","clientID","ID2904","Web","complete",,,,,,,,,,,
"3","pressKey","2019-03-07T13:14:14.146Z",,,"Web","complete","enter",,,,,,,,,,
"3","clickButton","2019-03-07T13:14:18.044Z","update",,"Web","complete",,"ID2904",,,,,,,,,
"3","insertValue","2019-03-07T13:14:21.889Z","address","addA168addB3486","Web","complete",,,,,,,,,,,
"3","insertValue","2019-03-07T13:14:31.519Z","country","Australia","Web","complete",,,,,,,,,,,
"3","openFile","2019-03-07T13:14:43.008Z",,,"Excel","complete",,,,,,,,"C:/Customers/Australia/","xls","ID2904",
"3","copy","2019-03-07T13:14:54.716Z","address","addB3486","Web","complete",,,,,,,,,,,
"3","paste","2019-03-07T13:14:56.438Z",,"addB3486","Excel","complete",,,,,"A","5",,,,,
"3","saveFile","2019-03-07T13:14:58.163Z","save",,"Excel","complete",,,,,,,,,,,
"3","clickButton","2019-03-07T13:15:00.585Z","ConfirmWithFile",,"Web","complete",,,,,,,,,,,
"3","clickButton","2019-03-07T13:15:04.044Z","OK",,"Web","complete",,,,,,,,,,,
"4","insertValue","2019-03-07T13:15:14.044Z","name","name1206","Web","complete",,,,,,,,,,,
"4","insertValue","2019-03-07T13:15:20.515Z","surname","surname1206","Web","complete",,,,,,,,,,,
"4","insertValue","2019-03-07T13:15:20.515Z","age","age22","Web","complete",,,,,,,,,,,
"4","insertValue","2019-03-07T13:15:27.248Z","type","T1","Web","complete",,,,,,,,,,,
"4","clickButton","2019-03-07T13:15:37.367Z","confirm",,"Web","complete",,,,,,,,,,,
"4","clickButton","2019-03-07T13:15:39.669Z","B1",,"Web","complete",,,,,,,,,,,
"4","copy","2019-03-07T13:15:43.365Z","name","name1206","Web","complete",,,,,,,,,,,
"4","paste","2019-03-07T13:15:44.796Z","name","name1206","Excel","complete",,,,,"B","1",,,,,
"4","copy","2019-03-07T13:15:47.280Z","surname","surname1206","Web","complete",,,,,,,,,,,
"4","paste","2019-03-07T13:15:50.291Z","surname","surname1206","Excel","complete",,,,,"B","1",,,,,
"4","clickButton","2019-03-07T13:15:54.127Z","add",,"Web","complete",,,,,,,,,,,
"4","clickButton","2019-03-07T13:15:55.680Z","confirm",,"Web","complete",,,,,,,,,,,
"4","clickButton","2019-03-07T13:15:59.938Z","OK",,"Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:16:09.938Z","name","name2980","Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:16:16.756Z","surname","surname2980","Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:16:29.897Z","age","age25","Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:16:43.704Z","type","T3","Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:16:47.885Z","confirm",,"Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:16:51.929Z","B4",,"Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:16:54.313Z","Clients",,"Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:16:57.767Z","clientID","ID2980","Web","complete",,,,,,,,,,,
"5","pressKey","2019-03-07T13:17:11.919Z",,,"Web","complete","enter",,,,,,,,,,
"5","clickButton","2019-03-07T13:17:15.609Z","update",,"Web","complete",,"ID2980",,,,,,,,,
"5","insertValue","2019-03-07T13:17:19.440Z","address","addA1424addB3050","Web","complete",,,,,,,,,,,
"5","insertValue","2019-03-07T13:17:26.792Z","country","Country51","Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:17:29.454Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:17:33.165Z","OK",,"Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:17:36.331Z","Confirm",,"Web","complete",,,,,,,,,,,
"5","clickButton","2019-03-07T13:17:40.051Z","OK",,"Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:17:50.051Z","name","name384","Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:18:02.314Z","surname","surname384","Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:18:04.535Z","age","age22","Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:18:06.780Z","type","T3","Web","complete",,,,,,,,,,,
"6","clickButton","2019-03-07T13:18:15.477Z","confirm",,"Web","complete",,,,,,,,,,,
"6","clickButton","2019-03-07T13:18:18.434Z","B4",,"Web","complete",,,,,,,,,,,
"6","clickButton","2019-03-07T13:18:21.517Z","Clients",,"Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:18:24.925Z","clientID","ID384","Web","complete",,,,,,,,,,,
"6","pressKey","2019-03-07T13:18:40.969Z",,,"Web","complete","enter",,,,,,,,,,
"6","clickButton","2019-03-07T13:18:43.729Z","update",,"Web","complete",,"ID384",,,,,,,,,
"6","insertValue","2019-03-07T13:18:46.952Z","address","addA1747addB3682","Web","complete",,,,,,,,,,,
"6","insertValue","2019-03-07T13:18:48.790Z","country","Australia","Web","complete",,,,,,,,,,,
"6","openFile","2019-03-07T13:18:58.129Z",,,"Excel","complete",,,,,,,,"C:/Customers/Australia/","xls","ID384",
"6","copy","2019-03-07T13:19:01.590Z","address","addB3682","Web","complete",,,,,,,,,,,
"6","paste","2019-03-07T13:19:03.171Z",,"addB3682","Excel","complete",,,,,"A","5",,,,,
"6","saveFile","2019-03-07T13:19:06.571Z","save",,"Excel","complete",,,,,,,,,,,
"6","clickButton","2019-03-07T13:19:09.665Z","ConfirmWithFile",,"Web","complete",,,,,,,,,,,
"6","clickButton","2019-03-07T13:19:11.769Z","OK",,"Web","complete",,,,,,,,,,,
"7","insertValue","2019-03-07T13:19:21.769Z","name","name1459","Web","complete",,,,,,,,,,,
"7","insertValue","2019-03-07T13:19:30.263Z","surname","surname1459","Web","complete",,,,,,,,,,,
"7","insertValue","2019-03-07T13:19:36.748Z","age","age21","Web","complete",,,,,,,,,,,
"7","insertValue","2019-03-07T13:19:40.622Z","type","T4","Web","complete",,,,,,,,,,,
"7","clickButton","2019-03-07T13:19:40.622Z","confirm",,"Web","complete",,,,,,,,,,,
"7","clickButton","2019-03-07T13:19:42.850Z","B5",,"Web","complete",,,,,,,,,,,
"7","insertBoolValue","2019-03-07T13:19:45.319Z","Australian","true","Web","complete",,,,,,,,,,,
"7","clickButton","2019-03-07T13:19:55.124Z","Button6",,"Web","complete",,,,,,,,,,,
"7","openFile","2019-03-07T13:20:00.035Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"7","copy","2019-03-07T13:20:07.549Z",,"value580","Excel","complete",,,,,"B","22",,,,,
"7","paste","2019-03-07T13:20:09.399Z","Special code","value580","Web","complete",,,,,,,,,,,
"7","paste","2019-03-07T13:20:13.090Z","Country","Australia","Web","complete",,,,,,,,,,,
"7","goToUrl","2019-03-07T13:20:15.083Z",,,"Web","complete",,,,,,,"www.webpage.com",,,,
"7","clickButton","2019-03-07T13:20:24.526Z","Button9",,"Web","complete",,,,,,,,,,,
"7","clickButton","2019-03-07T13:20:27.290Z","OK",,"Web","complete",,,,,,,,,,,
"8","insertValue","2019-03-07T13:20:37.290Z","name","name1776","Web","complete",,,,,,,,,,,
"8","insertValue","2019-03-07T13:20:50.616Z","surname","surname1776","Web","complete",,,,,,,,,,,
"8","insertValue","2019-03-07T13:21:02.436Z","age","age19","Web","complete",,,,,,,,,,,
"8","insertValue","2019-03-07T13:21:02.436Z","type","T4","Web","complete",,,,,,,,,,,
"8","clickButton","2019-03-07T13:21:12.157Z","confirm",,"Web","complete",,,,,,,,,,,
"8","clickButton","2019-03-07T13:21:15.420Z","B5",,"Web","complete",,,,,,,,,,,
"8","insertBoolValue","2019-03-07T13:21:16.614Z","Australian","false","Web","complete",,,,,,,,,,,
"8","clickButton","2019-03-07T13:21:27.539Z","Button6",,"Web","complete",,,,,,,,,,,
"8","openFile","2019-03-07T13:21:30.017Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"8","copy","2019-03-07T13:21:38.795Z",,"value704","Excel","complete",,,,,"B","64",,,,,
"8","paste","2019-03-07T13:21:41.347Z","Special code","value704","Web","complete",,,,,,,,,,,
"8","paste","2019-03-07T13:21:43.320Z","Country","Other","Web","complete",,,,,,,,,,,
"8","clickButton","2019-03-07T13:21:45.995Z","Button9",,"Web","complete",,,,,,,,,,,
"8","goToUrl","2019-03-07T13:21:49.790Z",,,"Web","complete",,,,,,,"www.webpage2.com",,,,
"8","clickButton","2019-03-07T13:21:58.289Z","OK",,"Web","complete",,,,,,,,,,,
"9","insertValue","2019-03-07T13:22:08.289Z","name","name2343","Web","complete",,,,,,,,,,,
"9","insertValue","2019-03-07T13:22:16.039Z","surname","surname2343","Web","complete",,,,,,,,,,,
"9","insertValue","2019-03-07T13:22:28.826Z","age","age26","Web","complete",,,,,,,,,,,
"9","insertValue","2019-03-07T13:22:36.067Z","type","T2","Web","complete",,,,,,,,,,,
"9","clickButton","2019-03-07T13:22:52.022Z","confirm",,"Web","complete",,,,,,,,,,,
"9","clickButton","2019-03-07T13:22:56.155Z","B3",,"Web","complete",,,,,,,,,,,
"9","clickButton","2019-03-07T13:23:00.367Z","Button6",,"Web","complete",,,,,,,,,,,
"9","openFile","2019-03-07T13:23:02.542Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"9","copy","2019-03-07T13:23:02.542Z",,"value985","Excel","complete",,,,,"A","44",,,,,
"9","paste","2019-03-07T13:23:06.088Z","Special code","value985","Web","complete",,,,,,,,,,,
"9","clickButton","2019-03-07T13:23:07.001Z","OK",,"Web","complete",,,,,,,,,,,
"10","insertValue","2019-03-07T13:23:17.001Z","name","name104","Web","complete",,,,,,,,,,,
"10","insertValue","2019-03-07T13:23:23.948Z","surname","surname104","Web","complete",,,,,,,,,,,
"10","insertValue","2019-03-07T13:23:33.942Z","age","age28","Web","complete",,,,,,,,,,,
"10","insertValue","2019-03-07T13:23:40.101Z","type","T2","Web","complete",,,,,,,,,,,
"10","clickButton","2019-03-07T13:23:41.019Z","confirm",,"Web","complete",,,,,,,,,,,
"10","clickButton","2019-03-07T13:23:43.800Z","B3",,"Web","complete",,,,,,,,,,,
"10","clickButton","2019-03-07T13:23:47.271Z","Button6",,"Web","complete",,,,,,,,,,,
"10","openFile","2019-03-07T13:23:49.434Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"10","copy","2019-03-07T13:24:01.689Z",,"value335","Excel","complete",,,,,"A","99",,,,,
"10","paste","2019-03-07T13:24:03.089Z","Special code","value335","Web","complete",,,,,,,,,,,
"10","clickButton","2019-03-07T13:24:06.569Z","OK",,"Web","complete",,,,,,,,,,,
"11","insertValue","2019-03-07T13:24:16.569Z","name","name1281","Web","complete",,,,,,,,,,,
"11","insertValue","2019-03-07T13:24:25.006Z","surname","surname1281","Web","complete",,,,,,,,,,,
"11","insertValue","2019-03-07T13:24:36.409Z","age","age24","Web","complete",,,,,,,,,,,
"11","insertValue","2019-03-07T13:24:41.757Z","type","T4","Web","complete",,,,,,,,,,,
"11","clickButton","2019-03-07T13:24:54.583Z","confirm",,"Web","complete",,,,,,,,,,,
"11","clickButton","2019-03-07T13:24:59.272Z","B5",,"Web","complete",,,,,,,,,,,
"11","insertBoolValue","2019-03-07T13:25:01.918Z","Australian","false","Web","complete",,,,,,,,,,,
"11","clickButton","2019-03-07T13:25:12.356Z","Button6",,"Web","complete",,,,,,,,,,,
"11","openFile","2019-03-07T13:25:15.620Z",,,"Excel","complete",,,"Sheet1","data.xls",,,,,,,
"11","copy","2019-03-07T13:25:22.221Z",,"value14","Excel","complete",,,,,"B","97",,,,,
"11","paste","2019-03-07T13:25:25.703Z","Special code","value14","Web","complete",,,,,,,,,,,
"11","paste","2019-03-07T13:25:28.450Z","Country","Other","Web","complete",,,,,,,,,,,
"11","clickButton","2019-03-07T13:25:28.531Z","Button9",,"Web","complete",,,,,,,,,,,
"11","goToUrl","2019-03-07T13:25:31.230Z",,,"Web","complete",,,,,,,"www.webpage2.com",,,,
"11","clickButton","2019-03-07T13:25:38.279Z","OK",,"Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:25:48.279Z","name","name598","Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:26:01.455Z","surname","surname598","Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:26:16.433Z","age","age21","Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:26:27.987Z","type","T3","Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:26:39.112Z","confirm",,"Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:26:42.366Z","B4",,"Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:26:45.324Z","Clients",,"Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:26:48.827Z","clientID","ID598","Web","complete",,,,,,,,,,,
"12","pressKey","2019-03-07T13:27:00.355Z",,,"Web","complete","enter",,,,,,,,,,
"12","clickButton","2019-03-07T13:27:04.462Z","update",,"Web","complete",,"ID598",,,,,,,,,
"12","insertValue","2019-03-07T13:27:08.543Z","address","addA2073addB1878","Web","complete",,,,,,,,,,,
"12","insertValue","2019-03-07T13:27:16.455Z","country","Country79","Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:27:19.606Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:27:20.997Z","OK",,"Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:27:23.630Z","Confirm",,"Web","complete",,,,,,,,,,,
"12","clickButton","2019-03-07T13:27:25.810Z","OK",,"Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:27:35.810Z","name","name2268","Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:27:43.052Z","surname","surname2268","Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:27:44.421Z","age","age18","Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:27:56.135Z","type","T3","Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:27:56.135Z","confirm",,"Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:01.082Z","B4",,"Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:05.512Z","Clients",,"Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:28:09.332Z","clientID","ID2268","Web","complete",,,,,,,,,,,
"13","pressKey","2019-03-07T13:28:25.105Z",,,"Web","complete","enter",,,,,,,,,,
"13","clickButton","2019-03-07T13:28:27.632Z","update",,"Web","complete",,"ID2268",,,,,,,,,
"13","insertValue","2019-03-07T13:28:30.545Z","address","addA3028addB3769","Web","complete",,,,,,,,,,,
"13","insertValue","2019-03-07T13:28:42.219Z","country","Country30","Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:42.219Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:45.106Z","OK",,"Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:49.128Z","Confirm",,"Web","complete",,,,,,,,,,,
"13","clickButton","2019-03-07T13:28:53.119Z","OK",,"Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:03.119Z","name","name3521","Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:17.538Z","surname","surname3521","Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:18.428Z","age","age24","Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:25.849Z","type","T3","Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:29:25.856Z","confirm",,"Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:29:29.327Z","B4",,"Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:29:31.914Z","Clients",,"Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:36.057Z","clientID","ID3521","Web","complete",,,,,,,,,,,
"14","pressKey","2019-03-07T13:29:36.814Z",,,"Web","complete","enter",,,,,,,,,,
"14","clickButton","2019-03-07T13:29:39.707Z","update",,"Web","complete",,"ID3521",,,,,,,,,
"14","insertValue","2019-03-07T13:29:42.579Z","address","addA1912addB3138","Web","complete",,,,,,,,,,,
"14","insertValue","2019-03-07T13:29:47.250Z","country","Country149","Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:29:57.363Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:30:00.388Z","OK",,"Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:30:03.341Z","Confirm",,"Web","complete",,,,,,,,,,,
"14","clickButton","2019-03-07T13:30:08.309Z","OK",,"Web","complete",,,,,,,,,,,
"15","insertValue","2019-03-07T13:30:18.309Z","name","name1188","Web","complete",,,,,,,,,,,
"15","insertValue","2019-03-07T13:30:19.338Z","surname","surname1188","Web","complete",,,,,,,,,,,
"15","insertValue","2019-03-07T13:30:26.682Z","age","age46","Web","complete",,,,,,,,,,,
"15","insertValue","2019-03-07T13:30:36.565Z","type","T1","Web","complete",,,,,,,,,,,
"15","clickButton","2019-03-07T13:30:50.120Z","confirm",,"Web","complete",,,,,,,,,,,
"15","clickButton","2019-03-07T13:30:53.471Z","B1",,"Web","complete",,,,,,,,,,,
"15","copy","2019-03-07T13:30:57.288Z","name","name1188","Web","complete",,,,,,,,,,,
"15","paste","2019-03-07T13:31:00.772Z","name","name1188","Excel","complete",,,,,"B","1",,,,,
"15","copy","2019-03-07T13:31:03.796Z","surname","surname1188","Web","complete",,,,,,,,,,,
"15","paste","2019-03-07T13:31:06.521Z","surname","surname1188","Excel","complete",,,,,"B","1",,,,,
"15","clickButton","2019-03-07T13:31:10.911Z","add",,"Web","complete",,,,,,,,,,,
"15","clickButton","2019-03-07T13:31:12.428Z","confirm",,"Web","complete",,,,,,,,,,,
"15","clickButton","2019-03-07T13:31:16.208Z","OK",,"Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:26.208Z","name","name1066","Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:29.481Z","surname","surname1066","Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:33.788Z","age","age45","Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:35.510Z","type","T2","Web","complete",,,,,,,,,,,
"16","clickButton","2019-03-07T13:31:41.710Z","confirm",,"Web","complete",,,,,,,,,,,
"16","clickButton","2019-03-07T13:31:42.828Z","B2",,"Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:45.081Z","value1","value672","Web","complete",,,,,,,,,,,
"16","insertValue","2019-03-07T13:31:55.830Z","code","19","Web","complete",,,,,,,,,,,
"16","clickButton","2019-03-07T13:32:02.656Z","B7",,"Web","complete",,,,,,,,,,,
"16","clickButton","2019-03-07T13:32:07.313Z","open",,"Web","complete",,,,,,,,,,,
"16","copy","2019-03-07T13:32:11.033Z","code","19","Web","complete",,,,,,,,,,,
"16","paste","2019-03-07T13:32:14.367Z","name","19","Excel","complete",,,,,"B","711",,,,,
"16","goToUrl","2019-03-07T13:32:16.722Z",,,"Web","complete",,,,,,,"www.webpage.com",,,,
"16","clickButton","2019-03-07T13:32:28.409Z","OK",,"Web","complete",,,,,,,,,,,
"16","clickButton","2019-03-07T13:32:42.143Z","OK",,"Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:32:52.143Z","name","name2438","Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:33:09.764Z","surname","surname2438","Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:33:09.764Z","age","age20","Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:33:16.656Z","type","T3","Web","complete",,,,,,,,,,,
"17","clickButton","2019-03-07T13:33:19.740Z","confirm",,"Web","complete",,,,,,,,,,,
"17","clickButton","2019-03-07T13:33:23.124Z","B4",,"Web","complete",,,,,,,,,,,
"17","clickButton","2019-03-07T13:33:26.553Z","Clients",,"Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:33:29.351Z","clientID","ID2438","Web","complete",,,,,,,,,,,
"17","pressKey","2019-03-07T13:33:32.848Z",,,"Web","complete","enter",,,,,,,,,,
"17","clickButton","2019-03-07T13:33:35.120Z","update",,"Web","complete",,"ID2438",,,,,,,,,
"17","insertValue","2019-03-07T13:33:40.185Z","address","addA1767addB3337","Web","complete",,,,,,,,,,,
"17","insertValue","2019-03-07T13:33:43.555Z","country","Australia","Web","complete",,,,,,,,,,,
"17","openFile","2019-03-07T13:33:43.555Z",,,"Excel","complete",,,,,,,,"C:/Customers/Australia/","xls","ID2438",
"17","copy","2019-03-07T13:33:54.946Z","address","addB3337","Web","complete",,,,,,,,,,,
"17","paste","2019-03-07T13:34:08.205Z",,"addB3337","Excel","complete",,,,,"A","5",,,,,
"17","saveFile","2019-03-07T13:34:12.756Z","save",,"Excel","complete",,,,,,,,,,,
"17","clickButton","2019-03-07T13:34:16.421Z","ConfirmWithFile",,"Web","complete",,,,,,,,,,,
"17","clickButton","2019-03-07T13:34:20.889Z","OK",,"Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:34:30.889Z","name","name9","Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:34:36.806Z","surname","surname9","Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:34:51.123Z","age","age18","Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:34:56.652Z","type","T3","Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:05.838Z","confirm",,"Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:08.544Z","B4",,"Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:09.250Z","Clients",,"Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:35:11.941Z","clientID","ID9","Web","complete",,,,,,,,,,,
"18","pressKey","2019-03-07T13:35:18.559Z",,,"Web","complete","enter",,,,,,,,,,
"18","clickButton","2019-03-07T13:35:19.437Z","update",,"Web","complete",,"ID9",,,,,,,,,
"18","insertValue","2019-03-07T13:35:22.276Z","address","addA69addB3476","Web","complete",,,,,,,,,,,
"18","insertValue","2019-03-07T13:35:33.834Z","country","Country7","Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:43.752Z","UnbindFile",,"Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:46.488Z","OK",,"Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:48.355Z","Confirm",,"Web","complete",,,,,,,,,,,
"18","clickButton","2019-03-07T13:35:49.494Z","OK",,"Web","complete",,,,,,,,,,,
