"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Column","Row","Url","Sheet","FileName","Found"
"11","paste","2019-03-07T08:54:16.342Z","finalCode","vaue2189","Web","complete",,,,,,
"11","clickButton","2019-03-07T08:54:19.192Z","OK",,"Web","complete",,,,,,
"12","insertValue","2019-03-07T08:54:29.192Z","name","name2029","Web","complete",,,,,,
"12","insertValue","2019-03-07T08:54:36.424Z","surname","surname2029","Web","complete",,,,,,
"12","insertValue","2019-03-07T08:54:41.905Z","age","23","Web","complete",,,,,,
"12","insertValue","2019-03-07T08:54:50.009Z","type","1","Web","complete",,,,,,
"12","clickButton","2019-03-07T08:54:59.970Z","B1",,"Web","complete",,,,,,
"12","insertValue","2019-03-07T08:55:03.104Z",,"1927","Excel","complete","B","19",,,,
"12","goToUrl","2019-03-07T08:55:14.580Z",,,"Web","complete",,,"www.webpage2.com",,,
"12","copy","2019-03-07T08:55:20.228Z","value2","value1927","Web","complete",,,,,,
"12","paste","2019-03-07T08:55:22.483Z",,"vaue1927","Excel","complete","C","2",,,,
"12","clickButton","2019-03-07T08:55:26.676Z","OK",,"Web","complete",,,,,,
"13","insertValue","2019-03-07T08:55:36.676Z","name","name926","Web","complete",,,,,,
"13","insertValue","2019-03-07T08:55:44.619Z","surname","surname926","Web","complete",,,,,,
"13","insertValue","2019-03-07T08:55:48.872Z","age","27","Web","complete",,,,,,
"13","insertValue","2019-03-07T08:55:58.303Z","type","1","Web","complete",,,,,,
"13","clickButton","2019-03-07T08:56:09.721Z","B1",,"Web","complete",,,,,,
"13","insertValue","2019-03-07T08:56:13.910Z",,"1314","Excel","complete","B","2",,,,
"13","goToUrl","2019-03-07T08:56:18.068Z",,,"Web","complete",,,"www.webpage2.com",,,
"13","copy","2019-03-07T08:56:18.841Z","value2","value1314","Web","complete",,,,,,
"13","paste","2019-03-07T08:56:22.400Z","finalCode","vaue1314","Web","complete",,,,,,
"13","clickButton","2019-03-07T08:56:23.792Z","Cancel",,"Web","complete",,,,,,
"14","insertValue","2019-03-07T08:56:33.792Z","name","name2437","Web","complete",,,,,,
"14","insertValue","2019-03-07T08:56:49.282Z","surname","surname2437","Web","complete",,,,,,
"14","insertValue","2019-03-07T08:57:01.462Z","age","29","Web","complete",,,,,,
"14","insertValue","2019-03-07T08:57:01.462Z","type","2","Web","complete",,,,,,
"14","clickButton","2019-03-07T08:57:15.521Z","B1",,"Web","complete",,,,,,
"14","insertValue","2019-03-07T08:57:18.231Z",,"4460","Excel","complete","B","40",,,,
"14","goToUrl","2019-03-07T08:57:23.863Z",,,"Web","complete",,,"www.webpage2.com",,,
"14","copy","2019-03-07T08:57:29.799Z","value2","value4460","Web","complete",,,,,,
"14","paste","2019-03-07T08:57:35.674Z","finalCode","vaue4460","Web","complete",,,,,,
"14","clickButton","2019-03-07T08:57:38.013Z","OK",,"Web","complete",,,,,,
"15","insertValue","2019-03-07T08:57:48.013Z","name","name1935","Web","complete",,,,,,
"15","insertValue","2019-03-07T08:57:48.980Z","surname","surname1935","Web","complete",,,,,,
"15","insertValue","2019-03-07T08:57:56.695Z","age","40","Web","complete",,,,,,
"15","insertValue","2019-03-07T08:58:05.870Z","type","1","Web","complete",,,,,,
"15","clickButton","2019-03-07T08:58:17.132Z","B1",,"Web","complete",,,,,,
"15","insertValue","2019-03-07T08:58:18.800Z",,"4315","Excel","complete","B","13",,,,
"15","goToUrl","2019-03-07T08:58:24.376Z",,,"Web","complete",,,"www.webpage2.com",,,
"15","copy","2019-03-07T08:58:31.042Z","value2","value4315","Web","complete",,,,,,
"15","paste","2019-03-07T08:58:33.717Z",,"vaue4315","Excel","complete","C","2",,,,
"15","clickButton","2019-03-07T08:58:35.372Z","OK",,"Web","complete",,,,,,
"16","insertValue","2019-03-07T08:58:45.372Z","name","name2018","Web","complete",,,,,,
"16","insertValue","2019-03-07T08:58:45.372Z","surname","surname2018","Web","complete",,,,,,
"16","insertValue","2019-03-07T08:58:52.014Z","age","24","Web","complete",,,,,,
"16","insertValue","2019-03-07T08:59:03.745Z","type","4","Web","complete",,,,,,
"16","clickButton","2019-03-07T08:59:10.372Z","B4",,"Web","complete",,,,,,
"16","goToUrl","2019-03-07T08:59:12.461Z",,,"Web","complete",,,"www.webpage.com",,,
"16","clickButton","2019-03-07T08:59:16.514Z","B5",,"Web","complete",,,,,,
"16","insertValue","2019-03-07T08:59:26.929Z","valueX","valuex2018","Web","complete",,,,,,
"16","clickButton","2019-03-07T08:59:29.922Z","Cancel",,"Web","complete",,,,,,
"17","insertValue","2019-03-07T08:59:39.922Z","name","name1090","Web","complete",,,,,,
"17","insertValue","2019-03-07T08:59:42.926Z","surname","surname1090","Web","complete",,,,,,
"17","insertValue","2019-03-07T08:59:56.171Z","age","49","Web","complete",,,,,,
"17","insertValue","2019-03-07T09:00:07.884Z","type","1","Web","complete",,,,,,
"17","clickButton","2019-03-07T09:00:19.911Z","B1",,"Web","complete",,,,,,
"17","insertValue","2019-03-07T09:00:22.629Z",,"1316","Excel","complete","B","4",,,,
"17","goToUrl","2019-03-07T09:00:34.220Z",,,"Web","complete",,,"www.webpage2.com",,,
"17","copy","2019-03-07T09:00:35.896Z","value2","value1316","Web","complete",,,,,,
"17","paste","2019-03-07T09:00:37.795Z","finalCode","vaue1316","Web","complete",,,,,,
"17","clickButton","2019-03-07T09:00:40.237Z","OK",,"Web","complete",,,,,,
"18","insertValue","2019-03-07T09:00:50.237Z","name","name2651","Web","complete",,,,,,
"18","insertValue","2019-03-07T09:01:01.269Z","surname","surname2651","Web","complete",,,,,,
"18","insertValue","2019-03-07T09:01:09.537Z","age","25","Web","complete",,,,,,
"18","insertValue","2019-03-07T09:01:17.810Z","type","4","Web","complete",,,,,,
"18","clickButton","2019-03-07T09:01:28.750Z","B4",,"Web","complete",,,,,,
"18","goToUrl","2019-03-07T09:01:32.481Z",,,"Web","complete",,,"www.webpage.com",,,
"18","clickButton","2019-03-07T09:01:34.850Z","B5",,"Web","complete",,,,,,
"18","insertValue","2019-03-07T09:01:44.097Z","valueX","valuex2651","Web","complete",,,,,,
"18","clickButton","2019-03-07T09:01:45.770Z","Cancel",,"Web","complete",,,,,,
"19","insertValue","2019-03-07T09:01:55.770Z","name","name1276","Web","complete",,,,,,
"19","insertValue","2019-03-07T09:02:02.630Z","surname","surname1276","Web","complete",,,,,,
"19","insertValue","2019-03-07T09:02:07.070Z","age","38","Web","complete",,,,,,
"19","insertValue","2019-03-07T09:02:17.638Z","type","2","Web","complete",,,,,,
"19","clickButton","2019-03-07T09:02:19.689Z","B1",,"Web","complete",,,,,,
"19","insertValue","2019-03-07T09:02:22.852Z",,"2597","Excel","complete","B","3",,,,
"19","goToUrl","2019-03-07T09:02:33.539Z",,,"Web","complete",,,"www.webpage2.com",,,
"19","copy","2019-03-07T09:02:42.112Z","value2","value2597","Web","complete",,,,,,
"19","paste","2019-03-07T09:02:45.271Z",,"vaue2597","Excel","complete","C","2",,,,
"19","paste","2019-03-07T09:02:50.627Z","finalCode","vaue2597","Web","complete",,,,,,
"19","clickButton","2019-03-07T09:02:53.299Z","OK",,"Web","complete",,,,,,
"20","insertValue","2019-03-07T09:03:03.299Z","name","name684","Web","complete",,,,,,
"20","insertValue","2019-03-07T09:03:10.063Z","surname","surname684","Web","complete",,,,,,
"20","insertValue","2019-03-07T09:03:18.390Z","age","35","Web","complete",,,,,,
"20","insertValue","2019-03-07T09:03:28.298Z","type","2","Web","complete",,,,,,
"20","clickButton","2019-03-07T09:03:28.298Z","B1",,"Web","complete",,,,,,
"20","insertValue","2019-03-07T09:03:32.026Z",,"2179","Excel","complete","B","19",,,,
"20","goToUrl","2019-03-07T09:03:38.883Z",,,"Web","complete",,,"www.webpage2.com",,,
"20","copy","2019-03-07T09:03:38.883Z","value2","value2179","Web","complete",,,,,,
"20","paste","2019-03-07T09:03:40.981Z",,"vaue2179","Excel","complete","C","2",,,,
"20","clickButton","2019-03-07T09:03:44.169Z","Cancel",,"Web","complete",,,,,,
"21","insertValue","2019-03-07T09:03:54.169Z","name","name117","Web","complete",,,,,,
"21","insertValue","2019-03-07T09:03:54.169Z","surname","surname117","Web","complete",,,,,,
"21","insertValue","2019-03-07T09:04:00.687Z","age","47","Web","complete",,,,,,
"21","insertValue","2019-03-07T09:04:24.429Z","type","3","Web","complete",,,,,,
"21","clickButton","2019-03-07T09:04:40.382Z","B4",,"Web","complete",,,,,,
"21","openFile","2019-03-07T09:04:44.142Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"21","findValue","2019-03-07T09:04:46.969Z",,"1935","Excel","complete",,,,,,"false"
"21","copy","2019-03-07T09:04:48.188Z",,"value117","Excel","complete","B","1",,,,
"21","paste","2019-03-07T09:04:51.722Z","finalCode","vaue117","Web","complete",,,,,,
"21","clickButton","2019-03-07T09:04:56.891Z","Cancel",,"Web","complete",,,,,,
"22","insertValue","2019-03-07T09:05:06.891Z","name","name1474","Web","complete",,,,,,
"22","insertValue","2019-03-07T09:05:17.171Z","surname","surname1474","Web","complete",,,,,,
"22","insertValue","2019-03-07T09:05:28.627Z","age","31","Web","complete",,,,,,
"22","insertValue","2019-03-07T09:05:40.439Z","type","1","Web","complete",,,,,,
"22","clickButton","2019-03-07T09:05:52.616Z","B1",,"Web","complete",,,,,,
"22","insertValue","2019-03-07T09:05:54.201Z",,"3898","Excel","complete","B","20",,,,
"22","goToUrl","2019-03-07T09:05:57.233Z",,,"Web","complete",,,"www.webpage2.com",,,
"22","copy","2019-03-07T09:06:07.251Z","value2","value3898","Web","complete",,,,,,
"22","paste","2019-03-07T09:06:11.838Z",,"vaue3898","Excel","complete","C","2",,,,
"22","paste","2019-03-07T09:06:15.392Z","finalCode","vaue3898","Web","complete",,,,,,
"22","clickButton","2019-03-07T09:06:18.508Z","OK",,"Web","complete",,,,,,
"23","insertValue","2019-03-07T09:06:28.508Z","name","name2691","Web","complete",,,,,,
"23","insertValue","2019-03-07T09:06:35.415Z","surname","surname2691","Web","complete",,,,,,
"23","insertValue","2019-03-07T09:06:48.066Z","age","29","Web","complete",,,,,,
"23","insertValue","2019-03-07T09:06:48.066Z","type","3","Web","complete",,,,,,
"23","clickButton","2019-03-07T09:06:51.384Z","B4",,"Web","complete",,,,,,
"23","openFile","2019-03-07T09:06:54.074Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"23","findValue","2019-03-07T09:06:55.420Z",,"3693","Excel","complete",,,,,,"true"
"23","copy","2019-03-07T09:06:58.295Z",,"value2691","Excel","complete","B","1",,,,
"23","paste","2019-03-07T09:06:59.568Z",,"vaue2691","Excel","complete","C","2",,,,
"23","paste","2019-03-07T09:07:02.593Z","finalCode","vaue2691","Web","complete",,,,,,
"23","clickButton","2019-03-07T09:07:06.557Z","Cancel",,"Web","complete",,,,,,
"24","insertValue","2019-03-07T09:07:16.557Z","name","name1760","Web","complete",,,,,,
"24","insertValue","2019-03-07T09:07:16.557Z","surname","surname1760","Web","complete",,,,,,
"24","insertValue","2019-03-07T09:07:25.822Z","age","28","Web","complete",,,,,,
"24","insertValue","2019-03-07T09:07:33.331Z","type","1","Web","complete",,,,,,
"24","clickButton","2019-03-07T09:07:39.521Z","B1",,"Web","complete",,,,,,
"24","insertValue","2019-03-07T09:07:43.334Z",,"2358","Excel","complete","B","27",,,,
"24","goToUrl","2019-03-07T09:07:58.462Z",,,"Web","complete",,,"www.webpage2.com",,,
"24","copy","2019-03-07T09:08:10.209Z","value2","value2358","Web","complete",,,,,,
"24","paste","2019-03-07T09:08:13.521Z",,"vaue2358","Excel","complete","C","2",,,,
"24","clickButton","2019-03-07T09:08:16.413Z","OK",,"Web","complete",,,,,,
"25","insertValue","2019-03-07T09:08:26.413Z","name","name1020","Web","complete",,,,,,
"25","insertValue","2019-03-07T09:08:35.179Z","surname","surname1020","Web","complete",,,,,,
"25","insertValue","2019-03-07T09:08:45.605Z","age","22","Web","complete",,,,,,
"25","insertValue","2019-03-07T09:08:54.036Z","type","4","Web","complete",,,,,,
"25","clickButton","2019-03-07T09:09:03.800Z","B4",,"Web","complete",,,,,,
"25","goToUrl","2019-03-07T09:09:07.369Z",,,"Web","complete",,,"www.webpage.com",,,
"25","clickButton","2019-03-07T09:09:11.842Z","B5",,"Web","complete",,,,,,
"25","insertValue","2019-03-07T09:09:24.196Z","valueX","valuex1020","Web","complete",,,,,,
"25","clickButton","2019-03-07T09:09:27.036Z","OK",,"Web","complete",,,,,,
"26","insertValue","2019-03-07T09:09:37.036Z","name","name325","Web","complete",,,,,,
"26","insertValue","2019-03-07T09:09:47.082Z","surname","surname325","Web","complete",,,,,,
"26","insertValue","2019-03-07T09:09:53.778Z","age","23","Web","complete",,,,,,
"26","insertValue","2019-03-07T09:09:58.920Z","type","3","Web","complete",,,,,,
"26","clickButton","2019-03-07T09:10:09.318Z","B4",,"Web","complete",,,,,,
"26","openFile","2019-03-07T09:10:13.306Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"26","findValue","2019-03-07T09:10:19.260Z",,"4425","Excel","complete",,,,,,"false"
"26","copy","2019-03-07T09:10:24.065Z",,"value325","Excel","complete","B","1",,,,
"26","paste","2019-03-07T09:10:25.402Z","finalCode","vaue325","Web","complete",,,,,,
"26","clickButton","2019-03-07T09:10:27.461Z","OK",,"Web","complete",,,,,,
"27","insertValue","2019-03-07T09:10:37.461Z","name","name812","Web","complete",,,,,,
"27","insertValue","2019-03-07T09:10:38.101Z","surname","surname812","Web","complete",,,,,,
"27","insertValue","2019-03-07T09:10:47.002Z","age","44","Web","complete",,,,,,
"27","insertValue","2019-03-07T09:10:55.820Z","type","3","Web","complete",,,,,,
"27","clickButton","2019-03-07T09:11:10.555Z","B4",,"Web","complete",,,,,,
"27","goToUrl","2019-03-07T09:11:13.577Z",,,"Web","complete",,,"www.webpage.com",,,
"27","clickButton","2019-03-07T09:11:15.721Z","B5",,"Web","complete",,,,,,
"27","insertValue","2019-03-07T09:11:15.721Z","valueX","valuex812","Web","complete",,,,,,
"27","clickButton","2019-03-07T09:11:18.636Z","OK",,"Web","complete",,,,,,
"28","insertValue","2019-03-07T09:11:28.636Z","name","name1455","Web","complete",,,,,,
"28","insertValue","2019-03-07T09:11:40.407Z","surname","surname1455","Web","complete",,,,,,
"28","insertValue","2019-03-07T09:11:46.178Z","age","18","Web","complete",,,,,,
"28","insertValue","2019-03-07T09:12:05.432Z","type","4","Web","complete",,,,,,
"28","clickButton","2019-03-07T09:12:16.999Z","B4",,"Web","complete",,,,,,
"28","openFile","2019-03-07T09:12:19.858Z",,,"Excel","complete",,,,"Sheet1","data123.xls",
"28","findValue","2019-03-07T09:12:23.039Z",,"1421","Excel","complete",,,,,,"true"
"28","copy","2019-03-07T09:12:26.605Z",,"value1455","Excel","complete","B","1",,,,
"28","paste","2019-03-07T09:12:28.810Z","finalCode","vaue1455","Web","complete",,,,,,
"28","clickButton","2019-03-07T09:12:31.415Z","Cancel",,"Web","complete",,,,,,
"29","insertValue","2019-03-07T09:12:41.415Z","name","name2879","Web","complete",,,,,,
"29","insertValue","2019-03-07T09:12:43.697Z","surname","surname2879","Web","complete",,,,,,
"29","insertValue","2019-03-07T09:12:57.439Z","age","23","Web","complete",,,,,,
"29","insertValue","2019-03-07T09:13:02.136Z","type","1","Web","complete",,,,,,
"29","clickButton","2019-03-07T09:13:09.859Z","B1",,"Web","complete",,,,,,
"29","insertValue","2019-03-07T09:13:13.363Z",,"4430","Excel","complete","B","33",,,,
"29","goToUrl","2019-03-07T09:13:14.447Z",,,"Web","complete",,,"www.webpage2.com",,,
"29","copy","2019-03-07T09:13:23.640Z","value2","value4430","Web","complete",,,,,,
"29","paste","2019-03-07T09:13:26.665Z","finalCode","vaue4430","Web","complete",,,,,,
"29","clickButton","2019-03-07T09:13:29.153Z","Cancel",,"Web","complete",,,,,,
"30","insertValue","2019-03-07T09:13:39.153Z","name","name1193","Web","complete",,,,,,
"30","insertValue","2019-03-07T09:13:39.818Z","surname","surname1193","Web","complete",,,,,,
"30","insertValue","2019-03-07T09:13:50.179Z","age","30","Web","complete",,,,,,
"30","insertValue","2019-03-07T09:13:58.504Z","type","4","Web","complete",,,,,,
"30","clickButton","2019-03-07T09:14:14.986Z","B4",,"Web","complete",,,,,,
"30","goToUrl","2019-03-07T09:14:16.956Z",,,"Web","complete",,,"www.webpage.com",,,
"30","clickButton","2019-03-07T09:14:20.681Z","B5",,"Web","complete",,,,,,
"30","insertValue","2019-03-07T09:14:39.341Z","valueX","valuex1193","Web","complete",,,,,,
"30","clickButton","2019-03-07T09:14:42.089Z","Cancel",,"Web","complete",,,,,,
"31","insertValue","2019-03-07T09:14:52.089Z","name","name2551","Web","complete",,,,,,
"31","insertValue","2019-03-07T09:15:01.506Z","surname","surname2551","Web","complete",,,,,,
"31","insertValue","2019-03-07T09:15:10.321Z","age","26","Web","complete",,,,,,
"31","insertValue","2019-03-07T09:15:15.997Z","type","4","Web","complete",,,,,,
"31","clickButton","2019-03-07T09:15:22.963Z","B4",,"Web","complete",,,,,,
"31","goToUrl","2019-03-07T09:15:26.359Z",,,"Web","complete",,,"www.webpage.com",,,
"31","clickButton","2019-03-07T09:15:29.208Z","B5",,"Web","complete",,,,,,
"31","insertValue","2019-03-07T09:15:37.518Z","valueX","valuex2551","Web","complete",,,,,,
