"caseID","eventType","timeStamp","Label","Value","source","lifecycle:transition","Sheet","FileName","Url","Column","Row"
"2","insertValue","2019-02-21T06:53:38.748Z","userID","ID1188","Web","complete",,,,,
"2","openFile","2019-02-21T06:53:44.724Z",,,"Excel","complete","Sheet1","data.xls",,,
"2","goToUrl","2019-02-21T06:53:58.276Z",,,"Web","complete",,,"www.webpage.com",,
"2","insertValue","2019-02-21T06:54:12.395Z","username","Frank01","Web","complete",,,,,
"2","insertValue","2019-02-21T06:54:17.180Z","password","LittleFrank123","Web","complete",,,,,
"2","clickButton","2019-02-21T06:54:27.094Z","confirm",,"Web","complete",,,,,
"2","waitResponse","2019-02-21T06:54:29.632Z",,,"Web","complete",,,"www.webpage.com/ok",,
"2","clickButton","2019-02-21T06:54:34.382Z","Button1",,"Web","complete",,,,,
"2","clickButton","2019-02-21T06:54:35.596Z","B2",,"Web","complete",,,,,
"2","insertValue","2019-02-21T06:54:39.331Z","Constant","182381","Web","complete",,,,,
"2","copy","2019-02-21T06:54:41.821Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"2","paste","2019-02-21T06:54:45.121Z","Special code","Au 58124829 XT","Web","complete",,,,,
"2","copy","2019-02-21T06:54:47.325Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"2","paste","2019-02-21T06:54:50.948Z","Area","Melbourne 123","Web","complete",,,,,
"2","clickButton","2019-02-21T06:54:53.343Z","OK",,"Web","complete",,,,,
"3","insertValue","2019-02-21T06:55:03.343Z","userID","ID981","Web","complete",,,,,
"3","openFile","2019-02-21T06:55:07.762Z",,,"Excel","complete","Sheet1","data.xls",,,
"3","goToUrl","2019-02-21T06:55:12.764Z",,,"Web","complete",,,"www.webpage.com",,
"3","insertValue","2019-02-21T06:55:17.750Z","username","Frank01","Web","complete",,,,,
"3","insertValue","2019-02-21T06:55:22.870Z","password","LittleFrank123","Web","complete",,,,,
"3","clickButton","2019-02-21T06:55:27.083Z","confirm",,"Web","complete",,,,,
"3","waitResponse","2019-02-21T06:55:29.681Z",,,"Web","complete",,,"www.webpage.com/ok",,
"3","clickButton","2019-02-21T06:55:33.445Z","Button1",,"Web","complete",,,,,
"3","clickButton","2019-02-21T06:55:37.591Z","B2",,"Web","complete",,,,,
"3","insertValue","2019-02-21T06:55:41.071Z","Constant","182381","Web","complete",,,,,
"3","copy","2019-02-21T06:55:45.531Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"3","paste","2019-02-21T06:55:48.709Z","Special code","Au 58124829 XT","Web","complete",,,,,
"3","copy","2019-02-21T06:55:53.326Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"3","paste","2019-02-21T06:55:56.062Z","Area","Melbourne 123","Web","complete",,,,,
"3","clickButton","2019-02-21T06:55:57.349Z","OK",,"Web","complete",,,,,
"4","insertValue","2019-02-21T06:56:07.349Z","userID","ID1723","Web","complete",,,,,
"4","openFile","2019-02-21T06:56:15.765Z",,,"Excel","complete","Sheet1","data.xls",,,
"4","goToUrl","2019-02-21T06:56:24.967Z",,,"Web","complete",,,"www.webpage.com",,
"4","insertValue","2019-02-21T06:56:35.402Z","username","Frank01","Web","complete",,,,,
"4","insertValue","2019-02-21T06:56:40.065Z","password","LittleFrank123","Web","complete",,,,,
"4","clickButton","2019-02-21T06:56:49.089Z","confirm",,"Web","complete",,,,,
"4","waitResponse","2019-02-21T06:56:50.356Z",,,"Web","complete",,,"www.webpage.com/ok",,
"4","clickButton","2019-02-21T06:56:59.860Z","Button1",,"Web","complete",,,,,
"4","clickButton","2019-02-21T06:57:03.352Z","B2",,"Web","complete",,,,,
"4","insertValue","2019-02-21T06:57:05.058Z","Constant","182381","Web","complete",,,,,
"4","copy","2019-02-21T06:57:08.689Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"4","paste","2019-02-21T06:57:11.733Z","Special code","Au 58124829 XT","Web","complete",,,,,
"4","copy","2019-02-21T06:57:14.614Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"4","paste","2019-02-21T06:57:16.382Z","Area","Melbourne 123","Web","complete",,,,,
"4","clickButton","2019-02-21T06:57:19.266Z","OK",,"Web","complete",,,,,
"5","insertValue","2019-02-21T06:57:29.266Z","userID","ID343","Web","complete",,,,,
"5","openFile","2019-02-21T06:57:32.826Z",,,"Excel","complete","Sheet1","data.xls",,,
"5","goToUrl","2019-02-21T06:57:39.336Z",,,"Web","complete",,,"www.webpage.com",,
"5","insertValue","2019-02-21T06:57:49.308Z","username","Frank01","Web","complete",,,,,
"5","insertValue","2019-02-21T06:58:01.319Z","password","LittleFrank123","Web","complete",,,,,
"5","clickButton","2019-02-21T06:58:06.542Z","confirm",,"Web","complete",,,,,
"5","waitResponse","2019-02-21T06:58:09.295Z",,,"Web","complete",,,"www.webpage.com/ok",,
"5","clickButton","2019-02-21T06:58:15.510Z","Button1",,"Web","complete",,,,,
"5","clickButton","2019-02-21T06:58:17.091Z","B2",,"Web","complete",,,,,
"5","insertValue","2019-02-21T06:58:21.798Z","Constant","182381","Web","complete",,,,,
"5","copy","2019-02-21T06:58:25.965Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"5","paste","2019-02-21T06:58:27.429Z","Special code","Au 58124829 XT","Web","complete",,,,,
"5","copy","2019-02-21T06:58:32.704Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"5","paste","2019-02-21T06:58:37.151Z","Area","Melbourne 123","Web","complete",,,,,
"5","clickButton","2019-02-21T06:58:39.499Z","OK",,"Web","complete",,,,,
"6","insertValue","2019-02-21T06:58:49.499Z","userID","ID1980","Web","complete",,,,,
"6","openFile","2019-02-21T06:58:52.250Z",,,"Excel","complete","Sheet1","data.xls",,,
"6","goToUrl","2019-02-21T06:59:05.342Z",,,"Web","complete",,,"www.webpage.com",,
"6","insertValue","2019-02-21T06:59:10.297Z","username","Frank01","Web","complete",,,,,
"6","insertValue","2019-02-21T06:59:13.736Z","password","LittleFrank123","Web","complete",,,,,
"6","clickButton","2019-02-21T06:59:22.676Z","confirm",,"Web","complete",,,,,
"6","waitResponse","2019-02-21T06:59:26.334Z",,,"Web","complete",,,"www.webpage.com/ok",,
"6","clickButton","2019-02-21T06:59:35.518Z","Button1",,"Web","complete",,,,,
"6","clickButton","2019-02-21T06:59:39.493Z","B2",,"Web","complete",,,,,
"6","insertValue","2019-02-21T06:59:42.255Z","Constant","182381","Web","complete",,,,,
"6","copy","2019-02-21T06:59:44.274Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"6","paste","2019-02-21T06:59:45.896Z","Special code","Au 58124829 XT","Web","complete",,,,,
"6","copy","2019-02-21T06:59:47.919Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"6","paste","2019-02-21T06:59:51.312Z","Area","Melbourne 123","Web","complete",,,,,
"6","clickButton","2019-02-21T06:59:54.734Z","OK",,"Web","complete",,,,,
"7","insertValue","2019-02-21T07:00:04.734Z","userID","ID160","Web","complete",,,,,
"7","openFile","2019-02-21T07:00:22.973Z",,,"Excel","complete","Sheet1","data.xls",,,
"7","goToUrl","2019-02-21T07:00:28.481Z",,,"Web","complete",,,"www.webpage.com",,
"7","insertValue","2019-02-21T07:00:31.390Z","username","Frank01","Web","complete",,,,,
"7","insertValue","2019-02-21T07:00:31.390Z","password","LittleFrank123","Web","complete",,,,,
"7","clickButton","2019-02-21T07:00:34.222Z","confirm",,"Web","complete",,,,,
"7","waitResponse","2019-02-21T07:00:34.800Z",,,"Web","complete",,,"www.webpage.com/ok",,
"7","clickButton","2019-02-21T07:00:40.670Z","Button1",,"Web","complete",,,,,
"7","clickButton","2019-02-21T07:00:43.831Z","B2",,"Web","complete",,,,,
"7","insertValue","2019-02-21T07:00:48.295Z","Constant","182381","Web","complete",,,,,
"7","copy","2019-02-21T07:00:53.568Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"7","paste","2019-02-21T07:00:58.078Z","Special code","Au 58124829 XT","Web","complete",,,,,
"7","copy","2019-02-21T07:01:01.963Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"7","paste","2019-02-21T07:01:05.830Z","Area","Melbourne 123","Web","complete",,,,,
"7","clickButton","2019-02-21T07:01:08.870Z","OK",,"Web","complete",,,,,
"8","insertValue","2019-02-21T07:01:18.870Z","userID","ID1971","Web","complete",,,,,
"8","openFile","2019-02-21T07:01:26.116Z",,,"Excel","complete","Sheet1","data.xls",,,
"8","goToUrl","2019-02-21T07:01:33.348Z",,,"Web","complete",,,"www.webpage.com",,
"8","insertValue","2019-02-21T07:01:38.829Z","username","Frank01","Web","complete",,,,,
"8","insertValue","2019-02-21T07:01:46.933Z","password","LittleFrank123","Web","complete",,,,,
"8","clickButton","2019-02-21T07:02:03.094Z","confirm",,"Web","complete",,,,,
"8","waitResponse","2019-02-21T07:02:05.168Z",,,"Web","complete",,,"www.webpage.com/ok",,
"8","clickButton","2019-02-21T07:02:16.644Z","Button1",,"Web","complete",,,,,
"8","clickButton","2019-02-21T07:02:19.174Z","B2",,"Web","complete",,,,,
"8","insertValue","2019-02-21T07:02:21.429Z","Constant","182381","Web","complete",,,,,
"8","copy","2019-02-21T07:02:25.622Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"8","paste","2019-02-21T07:02:28.611Z","Special code","Au 58124829 XT","Web","complete",,,,,
"8","copy","2019-02-21T07:02:30.862Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"8","paste","2019-02-21T07:02:33.941Z","Area","Melbourne 123","Web","complete",,,,,
"8","clickButton","2019-02-21T07:02:35.680Z","OK",,"Web","complete",,,,,
"9","insertValue","2019-02-21T07:02:45.680Z","userID","ID973","Web","complete",,,,,
"9","openFile","2019-02-21T07:02:47.522Z",,,"Excel","complete","Sheet1","data.xls",,,
"9","goToUrl","2019-02-21T07:03:02.299Z",,,"Web","complete",,,"www.webpage.com",,
"9","insertValue","2019-02-21T07:03:09.610Z","username","Frank01","Web","complete",,,,,
"9","insertValue","2019-02-21T07:03:19.688Z","password","LittleFrank123","Web","complete",,,,,
"9","clickButton","2019-02-21T07:03:33.104Z","confirm",,"Web","complete",,,,,
"9","waitResponse","2019-02-21T07:03:36.785Z",,,"Web","complete",,,"www.webpage.com/ok",,
"9","clickButton","2019-02-21T07:03:48.965Z","Button1",,"Web","complete",,,,,
"9","clickButton","2019-02-21T07:03:50.062Z","B2",,"Web","complete",,,,,
"9","insertValue","2019-02-21T07:03:51.322Z","Constant","182381","Web","complete",,,,,
"9","copy","2019-02-21T07:03:54.768Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"9","paste","2019-02-21T07:03:57.888Z","Special code","Au 58124829 XT","Web","complete",,,,,
"9","copy","2019-02-21T07:04:00.639Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"9","paste","2019-02-21T07:04:04.624Z","Area","Melbourne 123","Web","complete",,,,,
"9","clickButton","2019-02-21T07:04:07.705Z","OK",,"Web","complete",,,,,
"10","insertValue","2019-02-21T07:04:17.705Z","userID","ID381","Web","complete",,,,,
"10","openFile","2019-02-21T07:04:24.771Z",,,"Excel","complete","Sheet1","data.xls",,,
"10","goToUrl","2019-02-21T07:04:33.751Z",,,"Web","complete",,,"www.webpage.com",,
"10","insertValue","2019-02-21T07:04:47.499Z","username","Frank01","Web","complete",,,,,
"10","insertValue","2019-02-21T07:04:54.510Z","password","LittleFrank123","Web","complete",,,,,
"10","clickButton","2019-02-21T07:05:03.685Z","confirm",,"Web","complete",,,,,
"10","waitResponse","2019-02-21T07:05:07.338Z",,,"Web","complete",,,"www.webpage.com/ok",,
"10","clickButton","2019-02-21T07:05:20.009Z","Button1",,"Web","complete",,,,,
"10","clickButton","2019-02-21T07:05:22.459Z","B2",,"Web","complete",,,,,
"10","insertValue","2019-02-21T07:05:26.402Z","Constant","182381","Web","complete",,,,,
"10","copy","2019-02-21T07:05:29.438Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"10","paste","2019-02-21T07:05:32.327Z","Special code","Au 58124829 XT","Web","complete",,,,,
"10","copy","2019-02-21T07:05:34.458Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"10","paste","2019-02-21T07:05:38.559Z","Area","Melbourne 123","Web","complete",,,,,
"10","clickButton","2019-02-21T07:05:42.636Z","OK",,"Web","complete",,,,,
"11","insertValue","2019-02-21T07:05:52.636Z","userID","ID702","Web","complete",,,,,
"11","openFile","2019-02-21T07:05:59.263Z",,,"Excel","complete","Sheet1","data.xls",,,
"11","goToUrl","2019-02-21T07:06:02.704Z",,,"Web","complete",,,"www.webpage.com",,
"11","insertValue","2019-02-21T07:06:15.967Z","username","Frank01","Web","complete",,,,,
"11","insertValue","2019-02-21T07:06:26.382Z","password","LittleFrank123","Web","complete",,,,,
"11","clickButton","2019-02-21T07:06:34.347Z","confirm",,"Web","complete",,,,,
"11","waitResponse","2019-02-21T07:06:36.348Z",,,"Web","complete",,,"www.webpage.com/ok",,
"11","clickButton","2019-02-21T07:06:53.653Z","Button1",,"Web","complete",,,,,
"11","clickButton","2019-02-21T07:06:55.566Z","B2",,"Web","complete",,,,,
"11","insertValue","2019-02-21T07:06:59.372Z","Constant","182381","Web","complete",,,,,
"11","copy","2019-02-21T07:07:02.090Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"11","paste","2019-02-21T07:07:05.809Z","Special code","Au 58124829 XT","Web","complete",,,,,
"11","copy","2019-02-21T07:07:07.545Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"11","paste","2019-02-21T07:07:09.444Z","Area","Melbourne 123","Web","complete",,,,,
"11","clickButton","2019-02-21T07:07:11.886Z","OK",,"Web","complete",,,,,
"12","insertValue","2019-02-21T07:07:21.886Z","userID","ID1864","Web","complete",,,,,
"12","openFile","2019-02-21T07:07:32.918Z",,,"Excel","complete","Sheet1","data.xls",,,
"12","goToUrl","2019-02-21T07:07:41.186Z",,,"Web","complete",,,"www.webpage.com",,
"12","insertValue","2019-02-21T07:07:52.844Z","username","Frank01","Web","complete",,,,,
"12","insertValue","2019-02-21T07:07:55.087Z","password","LittleFrank123","Web","complete",,,,,
"12","clickButton","2019-02-21T07:07:57.156Z","confirm",,"Web","complete",,,,,
"12","waitResponse","2019-02-21T07:07:58.937Z",,,"Web","complete",,,"www.webpage.com/wrong",,
"12","copy","2019-02-21T07:08:08.184Z","userID","ID1864","Web","complete",,,,,
"12","paste","2019-02-21T07:08:09.857Z","newID","ID1864","Web","complete",,,,,
"12","clickButton","2019-02-21T07:08:12.629Z","B3",,"Web","complete",,,,,
"12","paste","2019-02-21T07:08:14.917Z",,"ID1864","Excel","complete",,,,"A","9"
"12","copy","2019-02-21T07:08:17.449Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"12","paste","2019-02-21T07:08:20.663Z","Area","Melbourne 123","Web","complete",,,,,
"12","clickButton","2019-02-21T07:08:24.053Z","OK",,"Web","complete",,,,,
"13","insertValue","2019-02-21T07:08:34.053Z","userID","ID1450","Web","complete",,,,,
"13","openFile","2019-02-21T07:08:39.515Z",,,"Excel","complete","Sheet1","data.xls",,,
"13","goToUrl","2019-02-21T07:08:56.378Z",,,"Web","complete",,,"www.webpage.com",,
"13","insertValue","2019-02-21T07:09:03.320Z","username","Frank01","Web","complete",,,,,
"13","insertValue","2019-02-21T07:09:20.389Z","password","LittleFrank123","Web","complete",,,,,
"13","clickButton","2019-02-21T07:09:31.924Z","confirm",,"Web","complete",,,,,
"13","waitResponse","2019-02-21T07:09:35.131Z",,,"Web","complete",,,"www.webpage.com/ok",,
"13","clickButton","2019-02-21T07:09:42.919Z","Button1",,"Web","complete",,,,,
"13","clickButton","2019-02-21T07:09:46.113Z","B2",,"Web","complete",,,,,
"13","insertValue","2019-02-21T07:09:49.562Z","Constant","182381","Web","complete",,,,,
"13","copy","2019-02-21T07:09:52.552Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"13","paste","2019-02-21T07:09:54.854Z","Special code","Au 58124829 XT","Web","complete",,,,,
"13","copy","2019-02-21T07:09:58.153Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"13","paste","2019-02-21T07:10:01.254Z","Area","Melbourne 123","Web","complete",,,,,
"13","clickButton","2019-02-21T07:10:04.252Z","OK",,"Web","complete",,,,,
"14","insertValue","2019-02-21T07:10:14.252Z","userID","ID707","Web","complete",,,,,
"14","openFile","2019-02-21T07:10:27.633Z",,,"Excel","complete","Sheet1","data.xls",,,
"14","goToUrl","2019-02-21T07:10:39.264Z",,,"Web","complete",,,"www.webpage.com",,
"14","insertValue","2019-02-21T07:10:47.418Z","username","Frank01","Web","complete",,,,,
"14","insertValue","2019-02-21T07:11:02.993Z","password","LittleFrank123","Web","complete",,,,,
"14","clickButton","2019-02-21T07:11:07.987Z","confirm",,"Web","complete",,,,,
"14","waitResponse","2019-02-21T07:11:12.578Z",,,"Web","complete",,,"www.webpage.com/ok",,
"14","clickButton","2019-02-21T07:11:24.374Z","Button1",,"Web","complete",,,,,
"14","clickButton","2019-02-21T07:11:28.056Z","B2",,"Web","complete",,,,,
"14","insertValue","2019-02-21T07:11:31.447Z","Constant","182381","Web","complete",,,,,
"14","copy","2019-02-21T07:11:34.007Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"14","paste","2019-02-21T07:11:35.301Z","Special code","Au 58124829 XT","Web","complete",,,,,
"14","copy","2019-02-21T07:11:39.114Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"14","paste","2019-02-21T07:11:40.371Z","Area","Melbourne 123","Web","complete",,,,,
"14","clickButton","2019-02-21T07:11:44.134Z","OK",,"Web","complete",,,,,
"15","insertValue","2019-02-21T07:11:54.134Z","userID","ID788","Web","complete",,,,,
"15","openFile","2019-02-21T07:12:06.311Z",,,"Excel","complete","Sheet1","data.xls",,,
"15","goToUrl","2019-02-21T07:12:07.232Z",,,"Web","complete",,,"www.webpage.com",,
"15","insertValue","2019-02-21T07:12:10.264Z","username","Frank01","Web","complete",,,,,
"15","insertValue","2019-02-21T07:12:20.282Z","password","LittleFrank123","Web","complete",,,,,
"15","clickButton","2019-02-21T07:12:36.217Z","confirm",,"Web","complete",,,,,
"15","waitResponse","2019-02-21T07:12:39.771Z",,,"Web","complete",,,"www.webpage.com/ok",,
"15","clickButton","2019-02-21T07:12:48.347Z","Button1",,"Web","complete",,,,,
"15","clickButton","2019-02-21T07:12:49.795Z","B2",,"Web","complete",,,,,
"15","insertValue","2019-02-21T07:12:53.091Z","Constant","182381","Web","complete",,,,,
"15","copy","2019-02-21T07:12:54.341Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"15","paste","2019-02-21T07:12:56.405Z","Special code","Au 58124829 XT","Web","complete",,,,,
"15","copy","2019-02-21T07:12:59.095Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"15","paste","2019-02-21T07:13:00.441Z","Area","Melbourne 123","Web","complete",,,,,
"15","clickButton","2019-02-21T07:13:03.316Z","OK",,"Web","complete",,,,,
"16","insertValue","2019-02-21T07:13:13.316Z","userID","ID744","Web","complete",,,,,
"16","openFile","2019-02-21T07:13:13.316Z",,,"Excel","complete","Sheet1","data.xls",,,
"16","goToUrl","2019-02-21T07:13:21.440Z",,,"Web","complete",,,"www.webpage.com",,
"16","insertValue","2019-02-21T07:13:34.260Z","username","Frank01","Web","complete",,,,,
"16","insertValue","2019-02-21T07:13:34.260Z","password","LittleFrank123","Web","complete",,,,,
"16","clickButton","2019-02-21T07:13:43.525Z","confirm",,"Web","complete",,,,,
"16","waitResponse","2019-02-21T07:13:47.253Z",,,"Web","complete",,,"www.webpage.com/ok",,
"16","clickButton","2019-02-21T07:13:53.598Z","Button1",,"Web","complete",,,,,
"16","clickButton","2019-02-21T07:13:57.411Z","B2",,"Web","complete",,,,,
"16","insertValue","2019-02-21T07:14:01.837Z","Constant","182381","Web","complete",,,,,
"16","copy","2019-02-21T07:14:05.587Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"16","paste","2019-02-21T07:14:08.899Z","Special code","Au 58124829 XT","Web","complete",,,,,
"16","copy","2019-02-21T07:14:11.791Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"16","paste","2019-02-21T07:14:14.945Z","Area","Melbourne 123","Web","complete",,,,,
"16","clickButton","2019-02-21T07:14:18.431Z","OK",,"Web","complete",,,,,
"17","insertValue","2019-02-21T07:14:28.431Z","userID","ID1968","Web","complete",,,,,
"17","openFile","2019-02-21T07:14:36.862Z",,,"Excel","complete","Sheet1","data.xls",,,
"17","goToUrl","2019-02-21T07:14:47.918Z",,,"Web","complete",,,"www.webpage.com",,
"17","insertValue","2019-02-21T07:14:47.918Z","username","Frank01","Web","complete",,,,,
"17","insertValue","2019-02-21T07:14:57.018Z","password","LittleFrank123","Web","complete",,,,,
"17","clickButton","2019-02-21T07:15:14.501Z","confirm",,"Web","complete",,,,,
"17","waitResponse","2019-02-21T07:15:19.360Z",,,"Web","complete",,,"www.webpage.com/ok",,
"17","clickButton","2019-02-21T07:15:21.290Z","Button1",,"Web","complete",,,,,
"17","clickButton","2019-02-21T07:15:24.030Z","B2",,"Web","complete",,,,,
"17","insertValue","2019-02-21T07:15:26.459Z","Constant","182381","Web","complete",,,,,
"17","copy","2019-02-21T07:15:27.605Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"17","paste","2019-02-21T07:15:30.038Z","Special code","Au 58124829 XT","Web","complete",,,,,
"17","copy","2019-02-21T07:15:34.896Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"17","paste","2019-02-21T07:15:37.926Z","Area","Melbourne 123","Web","complete",,,,,
"17","clickButton","2019-02-21T07:15:42.098Z","OK",,"Web","complete",,,,,
"18","insertValue","2019-02-21T07:15:52.098Z","userID","ID265","Web","complete",,,,,
"18","openFile","2019-02-21T07:16:09.460Z",,,"Excel","complete","Sheet1","data.xls",,,
"18","goToUrl","2019-02-21T07:16:14.869Z",,,"Web","complete",,,"www.webpage.com",,
"18","insertValue","2019-02-21T07:16:27.381Z","username","Frank01","Web","complete",,,,,
"18","insertValue","2019-02-21T07:16:38.374Z","password","LittleFrank123","Web","complete",,,,,
"18","clickButton","2019-02-21T07:16:41.113Z","confirm",,"Web","complete",,,,,
"18","waitResponse","2019-02-21T07:16:44.277Z",,,"Web","complete",,,"www.webpage.com/ok",,
"18","clickButton","2019-02-21T07:16:59.012Z","Button1",,"Web","complete",,,,,
"18","clickButton","2019-02-21T07:17:02.539Z","B2",,"Web","complete",,,,,
"18","insertValue","2019-02-21T07:17:06.076Z","Constant","182381","Web","complete",,,,,
"18","copy","2019-02-21T07:17:08.589Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"18","paste","2019-02-21T07:17:10.530Z","Special code","Au 58124829 XT","Web","complete",,,,,
"18","copy","2019-02-21T07:17:13.483Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"18","paste","2019-02-21T07:17:16.065Z","Area","Melbourne 123","Web","complete",,,,,
"18","clickButton","2019-02-21T07:17:21.316Z","OK",,"Web","complete",,,,,
"19","insertValue","2019-02-21T07:17:31.316Z","userID","ID486","Web","complete",,,,,
"19","openFile","2019-02-21T07:17:42.883Z",,,"Excel","complete","Sheet1","data.xls",,,
"19","goToUrl","2019-02-21T07:17:50.176Z",,,"Web","complete",,,"www.webpage.com",,
"19","insertValue","2019-02-21T07:17:59.080Z","username","Frank01","Web","complete",,,,,
"19","insertValue","2019-02-21T07:18:09.908Z","password","LittleFrank123","Web","complete",,,,,
"19","clickButton","2019-02-21T07:18:13.932Z","confirm",,"Web","complete",,,,,
"19","waitResponse","2019-02-21T07:18:16.537Z",,,"Web","complete",,,"www.webpage.com/ok",,
"19","clickButton","2019-02-21T07:18:18.819Z","Button1",,"Web","complete",,,,,
"19","clickButton","2019-02-21T07:18:21.453Z","B2",,"Web","complete",,,,,
"19","insertValue","2019-02-21T07:18:24.651Z","Constant","182381","Web","complete",,,,,
"19","copy","2019-02-21T07:18:27.596Z",,"Au 58124829 XT","Excel","complete",,,,"B","1"
"19","paste","2019-02-21T07:18:31.100Z","Special code","Au 58124829 XT","Web","complete",,,,,
"19","copy","2019-02-21T07:18:32.717Z",,"Melbourne 123","Excel","complete",,,,"B","2"
"19","paste","2019-02-21T07:18:35.956Z","Area","Melbourne 123","Web","complete",,,,,
"19","clickButton","2019-02-21T07:18:38.981Z","OK",,"Web","complete",,,,,
"20","insertValue","2019-02-21T07:18:48.981Z","userID","ID587","Web","complete",,,,,
"20","openFile","2019-02-21T07:18:54.419Z",,,"Excel","complete","Sheet1","data.xls",,,
"20","goToUrl","2019-02-21T07:18:55.084Z",,,"Web","complete",,,"www.webpage.com",,
"20","insertValue","2019-02-21T07:19:05.445Z","username","Frank01","Web","complete",,,,,
"20","insertValue","2019-02-21T07:19:13.710Z","password","LittleFrank123","Web","complete",,,,,
"20","clickButton","2019-02-21T07:19:24.881Z","confirm",,"Web","complete",,,,,
"20","waitResponse","2019-02-21T07:19:26.276Z",,,"Web","complete",,,"www.webpage.com/ok",,
