"caseID","eventType","timeStamp","Label","source","lifecycle:transition","Value","Key","ref","FilePath","FileExtension","NameFile","Column","Row"
"2","clickButton","2019-03-05T11:51:30.936Z","ConfirmWithFile","Web","complete",,,,,,,,
"3","clickButton","2019-03-05T11:51:45.217Z","Clients","Web","complete",,,,,,,,
"3","insertValue","2019-03-05T11:51:47.344Z","clientID","Web","complete","ID353",,,,,,,
"3","pressKey","2019-03-05T11:51:47.720Z",,"Web","complete",,"enter",,,,,,
"3","clickButton","2019-03-05T11:51:50.648Z","update","Web","complete",,,"ID353",,,,,
"3","insertValue","2019-03-05T11:51:53.245Z","address","Web","complete","addA1475addB1355",,,,,,,
"3","insertValue","2019-03-05T11:52:09.293Z","country","Web","complete","Country164",,,,,,,
"3","clickButton","2019-03-05T11:52:16.420Z","UnbindFile","Web","complete",,,,,,,,
"3","clickButton","2019-03-05T11:52:19.001Z","OK","Web","complete",,,,,,,,
"3","clickButton","2019-03-05T11:52:22.438Z","Confirm","Web","complete",,,,,,,,
"4","clickButton","2019-03-05T11:52:36.170Z","Clients","Web","complete",,,,,,,,
"4","insertValue","2019-03-05T11:52:39.579Z","clientID","Web","complete","ID205",,,,,,,
"4","pressKey","2019-03-05T11:52:49.994Z",,"Web","complete",,"enter",,,,,,
"4","clickButton","2019-03-05T11:52:51.410Z","update","Web","complete",,,"ID205",,,,,
"4","insertValue","2019-03-05T11:52:53.824Z","address","Web","complete","addA531addB1410",,,,,,,
"4","insertValue","2019-03-05T11:52:54.365Z","country","Web","complete","Country190",,,,,,,
"4","clickButton","2019-03-05T11:52:56.322Z","UnbindFile","Web","complete",,,,,,,,
"4","clickButton","2019-03-05T11:52:59.530Z","OK","Web","complete",,,,,,,,
"4","clickButton","2019-03-05T11:53:02.513Z","Confirm","Web","complete",,,,,,,,
"5","clickButton","2019-03-05T11:53:16.073Z","Clients","Web","complete",,,,,,,,
"5","insertValue","2019-03-05T11:53:17.917Z","clientID","Web","complete","ID1651",,,,,,,
"5","pressKey","2019-03-05T11:53:21.905Z",,"Web","complete",,"enter",,,,,,
"5","clickButton","2019-03-05T11:53:24.711Z","update","Web","complete",,,"ID1651",,,,,
"5","insertValue","2019-03-05T11:53:28.975Z","address","Web","complete","addA1641addB417",,,,,,,
"5","insertValue","2019-03-05T11:53:34.211Z","country","Web","complete","Australia",,,,,,,
"5","openFile","2019-03-05T11:53:34.211Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1651",,
"5","copy","2019-03-05T11:53:45.191Z","address","Web","complete","addB417",,,,,,,
"5","paste","2019-03-05T11:53:55.169Z",,"Excel","complete","addB417",,,,,,"A","5"
"5","saveFile","2019-03-05T11:53:57.928Z","save","Excel","complete",,,,,,,,
"5","clickButton","2019-03-05T11:54:01.481Z","ConfirmWithFile","Web","complete",,,,,,,,
"6","clickButton","2019-03-05T11:54:14.815Z","Clients","Web","complete",,,,,,,,
"6","insertValue","2019-03-05T11:54:17.458Z","clientID","Web","complete","ID1966",,,,,,,
"6","pressKey","2019-03-05T11:54:28.209Z",,"Web","complete",,"enter",,,,,,
"6","clickButton","2019-03-05T11:54:31.151Z","update","Web","complete",,,"ID1966",,,,,
"6","insertValue","2019-03-05T11:54:34.283Z","address","Web","complete","addA1733addB107",,,,,,,
"6","insertValue","2019-03-05T11:54:34.284Z","country","Web","complete","Country87",,,,,,,
"6","clickButton","2019-03-05T11:54:41.870Z","UnbindFile","Web","complete",,,,,,,,
"6","clickButton","2019-03-05T11:54:44.590Z","OK","Web","complete",,,,,,,,
"6","clickButton","2019-03-05T11:54:47.693Z","Confirm","Web","complete",,,,,,,,
"7","clickButton","2019-03-05T11:55:00.679Z","Clients","Web","complete",,,,,,,,
"7","insertValue","2019-03-05T11:55:04.191Z","clientID","Web","complete","ID1527",,,,,,,
"7","pressKey","2019-03-05T11:55:13.361Z",,"Web","complete",,"enter",,,,,,
"7","clickButton","2019-03-05T11:55:16.063Z","update","Web","complete",,,"ID1527",,,,,
"7","insertValue","2019-03-05T11:55:17.999Z","address","Web","complete","addA1899addB604",,,,,,,
"7","insertValue","2019-03-05T11:55:31.912Z","country","Web","complete","Australia",,,,,,,
"7","openFile","2019-03-05T11:55:42.335Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1527",,
"7","copy","2019-03-05T11:55:51.203Z","address","Web","complete","addB604",,,,,,,
"7","paste","2019-03-05T11:55:57.095Z",,"Excel","complete","addB604",,,,,,"A","5"
"7","saveFile","2019-03-05T11:56:02.422Z","save","Excel","complete",,,,,,,,
"7","clickButton","2019-03-05T11:56:05.842Z","ConfirmWithFile","Web","complete",,,,,,,,
"8","clickButton","2019-03-05T11:56:19.902Z","Clients","Web","complete",,,,,,,,
"8","insertValue","2019-03-05T11:56:21.891Z","clientID","Web","complete","ID725",,,,,,,
"8","pressKey","2019-03-05T11:56:36.373Z",,"Web","complete",,"enter",,,,,,
"8","clickButton","2019-03-05T11:56:39.695Z","update","Web","complete",,,"ID725",,,,,
"8","insertValue","2019-03-05T11:56:42.956Z","address","Web","complete","addA1644addB659",,,,,,,
"8","insertValue","2019-03-05T11:57:02.018Z","country","Web","complete","Country68",,,,,,,
"8","clickButton","2019-03-05T11:57:09.359Z","UnbindFile","Web","complete",,,,,,,,
"8","clickButton","2019-03-05T11:57:12.579Z","OK","Web","complete",,,,,,,,
"8","clickButton","2019-03-05T11:57:16.455Z","Confirm","Web","complete",,,,,,,,
"9","clickButton","2019-03-05T11:57:29.554Z","Clients","Web","complete",,,,,,,,
"9","insertValue","2019-03-05T11:57:32.596Z","clientID","Web","complete","ID1705",,,,,,,
"9","pressKey","2019-03-05T11:57:41.338Z",,"Web","complete",,"enter",,,,,,
"9","clickButton","2019-03-05T11:57:46.903Z","update","Web","complete",,,"ID1705",,,,,
"9","insertValue","2019-03-05T11:57:51.344Z","address","Web","complete","addA1207addB1724",,,,,,,
"9","insertValue","2019-03-05T11:58:00.958Z","country","Web","complete","Australia",,,,,,,
"9","openFile","2019-03-05T11:58:15.343Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1705",,
"9","copy","2019-03-05T11:58:21.520Z","address","Web","complete","addB1724",,,,,,,
"9","paste","2019-03-05T11:58:31.305Z",,"Excel","complete","addB1724",,,,,,"A","5"
"9","saveFile","2019-03-05T11:58:34.731Z","save","Excel","complete",,,,,,,,
"9","clickButton","2019-03-05T11:58:37.998Z","ConfirmWithFile","Web","complete",,,,,,,,
"10","clickButton","2019-03-05T11:58:51.652Z","Clients","Web","complete",,,,,,,,
"10","insertValue","2019-03-05T11:58:56.282Z","clientID","Web","complete","ID723",,,,,,,
"10","pressKey","2019-03-05T11:59:05.856Z",,"Web","complete",,"enter",,,,,,
"10","clickButton","2019-03-05T11:59:11.024Z","update","Web","complete",,,"ID723",,,,,
"10","insertValue","2019-03-05T11:59:14.421Z","address","Web","complete","addA1361addB1247",,,,,,,
"10","insertValue","2019-03-05T11:59:22.041Z","country","Web","complete","Country32",,,,,,,
"10","clickButton","2019-03-05T11:59:23.209Z","UnbindFile","Web","complete",,,,,,,,
"10","clickButton","2019-03-05T11:59:25.095Z","OK","Web","complete",,,,,,,,
"10","clickButton","2019-03-05T11:59:27.021Z","Confirm","Web","complete",,,,,,,,
"11","clickButton","2019-03-05T11:59:39.535Z","Clients","Web","complete",,,,,,,,
"11","insertValue","2019-03-05T11:59:41.036Z","clientID","Web","complete","ID1739",,,,,,,
"11","pressKey","2019-03-05T11:59:42.074Z",,"Web","complete",,"enter",,,,,,
"11","clickButton","2019-03-05T11:59:45.853Z","update","Web","complete",,,"ID1739",,,,,
"11","insertValue","2019-03-05T11:59:49.676Z","address","Web","complete","addA141addB1549",,,,,,,
"11","insertValue","2019-03-05T11:59:53.255Z","country","Web","complete","Country68",,,,,,,
"11","clickButton","2019-03-05T11:59:58.872Z","UnbindFile","Web","complete",,,,,,,,
"11","clickButton","2019-03-05T12:00:01.998Z","OK","Web","complete",,,,,,,,
"11","clickButton","2019-03-05T12:00:06.474Z","Confirm","Web","complete",,,,,,,,
"12","clickButton","2019-03-05T12:00:18.612Z","Clients","Web","complete",,,,,,,,
"12","insertValue","2019-03-05T12:00:21.822Z","clientID","Web","complete","ID1760",,,,,,,
"12","pressKey","2019-03-05T12:00:23.016Z",,"Web","complete",,"enter",,,,,,
"12","clickButton","2019-03-05T12:00:26.340Z","update","Web","complete",,,"ID1760",,,,,
"12","insertValue","2019-03-05T12:00:28.330Z","address","Web","complete","addA1011addB1854",,,,,,,
"12","insertValue","2019-03-05T12:00:39.385Z","country","Web","complete","Australia",,,,,,,
"12","openFile","2019-03-05T12:00:45.620Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1760",,
"12","copy","2019-03-05T12:01:05.072Z","address","Web","complete","addB1854",,,,,,,
"12","paste","2019-03-05T12:01:12.234Z",,"Excel","complete","addB1854",,,,,,"A","5"
"12","saveFile","2019-03-05T12:01:14.993Z","save","Excel","complete",,,,,,,,
"12","clickButton","2019-03-05T12:01:19.318Z","ConfirmWithFile","Web","complete",,,,,,,,
"13","clickButton","2019-03-05T12:01:31.192Z","Clients","Web","complete",,,,,,,,
"13","insertValue","2019-03-05T12:01:33.346Z","clientID","Web","complete","ID1616",,,,,,,
"13","pressKey","2019-03-05T12:01:42.492Z",,"Web","complete",,"enter",,,,,,
"13","clickButton","2019-03-05T12:01:44.526Z","update","Web","complete",,,"ID1616",,,,,
"13","insertValue","2019-03-05T12:01:47.051Z","address","Web","complete","addA44addB965",,,,,,,
"13","insertValue","2019-03-05T12:01:53.371Z","country","Web","complete","Australia",,,,,,,
"13","openFile","2019-03-05T12:01:59.799Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1616",,
"13","copy","2019-03-05T12:02:09.889Z","address","Web","complete","addB965",,,,,,,
"13","paste","2019-03-05T12:02:19.188Z",,"Excel","complete","addB965",,,,,,"A","5"
"13","saveFile","2019-03-05T12:02:22.270Z","save","Excel","complete",,,,,,,,
"13","clickButton","2019-03-05T12:02:24.266Z","ConfirmWithFile","Web","complete",,,,,,,,
"14","clickButton","2019-03-05T12:02:37.911Z","Clients","Web","complete",,,,,,,,
"14","insertValue","2019-03-05T12:02:41.781Z","clientID","Web","complete","ID1110",,,,,,,
"14","pressKey","2019-03-05T12:02:44.317Z",,"Web","complete",,"enter",,,,,,
"14","clickButton","2019-03-05T12:02:47.153Z","update","Web","complete",,,"ID1110",,,,,
"14","insertValue","2019-03-05T12:02:48.796Z","address","Web","complete","addA1765addB700",,,,,,,
"14","insertValue","2019-03-05T12:02:56.815Z","country","Web","complete","Country178",,,,,,,
"14","clickButton","2019-03-05T12:03:02.933Z","UnbindFile","Web","complete",,,,,,,,
"14","clickButton","2019-03-05T12:03:06.032Z","OK","Web","complete",,,,,,,,
"14","clickButton","2019-03-05T12:03:08.710Z","Confirm","Web","complete",,,,,,,,
"15","clickButton","2019-03-05T12:03:21.785Z","Clients","Web","complete",,,,,,,,
"15","insertValue","2019-03-05T12:03:24.723Z","clientID","Web","complete","ID1401",,,,,,,
"15","pressKey","2019-03-05T12:03:35.643Z",,"Web","complete",,"enter",,,,,,
"15","clickButton","2019-03-05T12:03:36.436Z","update","Web","complete",,,"ID1401",,,,,
"15","insertValue","2019-03-05T12:03:38.506Z","address","Web","complete","addA1640addB297",,,,,,,
"15","insertValue","2019-03-05T12:04:00.288Z","country","Web","complete","Australia",,,,,,,
"15","openFile","2019-03-05T12:04:02.004Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1401",,
"15","copy","2019-03-05T12:04:06.156Z","address","Web","complete","addB297",,,,,,,
"15","paste","2019-03-05T12:04:18.053Z",,"Excel","complete","addB297",,,,,,"A","5"
"15","saveFile","2019-03-05T12:04:20.121Z","save","Excel","complete",,,,,,,,
"15","clickButton","2019-03-05T12:04:23.951Z","ConfirmWithFile","Web","complete",,,,,,,,
"16","clickButton","2019-03-05T12:04:34.847Z","Clients","Web","complete",,,,,,,,
"16","insertValue","2019-03-05T12:04:36.491Z","clientID","Web","complete","ID1114",,,,,,,
"16","pressKey","2019-03-05T12:04:53.022Z",,"Web","complete",,"enter",,,,,,
"16","clickButton","2019-03-05T12:04:56.289Z","update","Web","complete",,,"ID1114",,,,,
"16","insertValue","2019-03-05T12:04:58.498Z","address","Web","complete","addA604addB1600",,,,,,,
"16","insertValue","2019-03-05T12:05:10.164Z","country","Web","complete","Country110",,,,,,,
"16","clickButton","2019-03-05T12:05:16.618Z","UnbindFile","Web","complete",,,,,,,,
"16","clickButton","2019-03-05T12:05:19.124Z","OK","Web","complete",,,,,,,,
"16","clickButton","2019-03-05T12:05:22.349Z","Confirm","Web","complete",,,,,,,,
"17","clickButton","2019-03-05T12:05:34.781Z","Clients","Web","complete",,,,,,,,
"17","insertValue","2019-03-05T12:05:38.969Z","clientID","Web","complete","ID1175",,,,,,,
"17","pressKey","2019-03-05T12:05:52.458Z",,"Web","complete",,"enter",,,,,,
"17","clickButton","2019-03-05T12:05:55.268Z","update","Web","complete",,,"ID1175",,,,,
"17","insertValue","2019-03-05T12:05:57.658Z","address","Web","complete","addA797addB241",,,,,,,
"17","insertValue","2019-03-05T12:06:06.604Z","country","Web","complete","Australia",,,,,,,
"17","openFile","2019-03-05T12:06:12.062Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1175",,
"17","copy","2019-03-05T12:06:19.465Z","address","Web","complete","addB241",,,,,,,
"17","paste","2019-03-05T12:06:20.104Z",,"Excel","complete","addB241",,,,,,"A","5"
"17","saveFile","2019-03-05T12:06:23.999Z","save","Excel","complete",,,,,,,,
"17","clickButton","2019-03-05T12:06:28.167Z","ConfirmWithFile","Web","complete",,,,,,,,
"18","clickButton","2019-03-05T12:06:39.260Z","Clients","Web","complete",,,,,,,,
"18","insertValue","2019-03-05T12:06:39.767Z","clientID","Web","complete","ID1157",,,,,,,
"18","pressKey","2019-03-05T12:07:02.096Z",,"Web","complete",,"enter",,,,,,
"18","clickButton","2019-03-05T12:07:03.309Z","update","Web","complete",,,"ID1157",,,,,
"18","insertValue","2019-03-05T12:07:06.982Z","address","Web","complete","addA579addB830",,,,,,,
"18","insertValue","2019-03-05T12:07:11.878Z","country","Web","complete","Country139",,,,,,,
"18","clickButton","2019-03-05T12:07:16.789Z","UnbindFile","Web","complete",,,,,,,,
"18","clickButton","2019-03-05T12:07:18.904Z","OK","Web","complete",,,,,,,,
"18","clickButton","2019-03-05T12:07:25.875Z","Confirm","Web","complete",,,,,,,,
"19","clickButton","2019-03-05T12:07:39.180Z","Clients","Web","complete",,,,,,,,
"19","insertValue","2019-03-05T12:07:41.998Z","clientID","Web","complete","ID1345",,,,,,,
"19","pressKey","2019-03-05T12:07:51.520Z",,"Web","complete",,"enter",,,,,,
"19","clickButton","2019-03-05T12:07:54.646Z","update","Web","complete",,,"ID1345",,,,,
"19","insertValue","2019-03-05T12:07:59.381Z","address","Web","complete","addA74addB1942",,,,,,,
"19","insertValue","2019-03-05T12:08:03.124Z","country","Web","complete","Country79",,,,,,,
"19","clickButton","2019-03-05T12:08:12.425Z","UnbindFile","Web","complete",,,,,,,,
"19","clickButton","2019-03-05T12:08:14.157Z","OK","Web","complete",,,,,,,,
"19","clickButton","2019-03-05T12:08:16.072Z","Confirm","Web","complete",,,,,,,,
"20","clickButton","2019-03-05T12:08:30.001Z","Clients","Web","complete",,,,,,,,
"20","insertValue","2019-03-05T12:08:31.780Z","clientID","Web","complete","ID1764",,,,,,,
"20","pressKey","2019-03-05T12:08:38.734Z",,"Web","complete",,"enter",,,,,,
"20","clickButton","2019-03-05T12:08:41.786Z","update","Web","complete",,,"ID1764",,,,,
"20","insertValue","2019-03-05T12:08:46.499Z","address","Web","complete","addA1695addB1221",,,,,,,
"20","insertValue","2019-03-05T12:08:53.843Z","country","Web","complete","Country13",,,,,,,
"20","clickButton","2019-03-05T12:09:04.555Z","UnbindFile","Web","complete",,,,,,,,
"20","clickButton","2019-03-05T12:09:08.233Z","OK","Web","complete",,,,,,,,
"20","clickButton","2019-03-05T12:09:11.546Z","Confirm","Web","complete",,,,,,,,
"21","clickButton","2019-03-05T12:09:22.707Z","Clients","Web","complete",,,,,,,,
"21","insertValue","2019-03-05T12:09:24.828Z","clientID","Web","complete","ID1951",,,,,,,
"21","pressKey","2019-03-05T12:09:30.021Z",,"Web","complete",,"enter",,,,,,
"21","clickButton","2019-03-05T12:09:30.717Z","update","Web","complete",,,"ID1951",,,,,
"21","insertValue","2019-03-05T12:09:33.581Z","address","Web","complete","addA1368addB944",,,,,,,
"21","insertValue","2019-03-05T12:09:42.287Z","country","Web","complete","Australia",,,,,,,
"21","openFile","2019-03-05T12:09:51.298Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1951",,
"21","copy","2019-03-05T12:09:53.548Z","address","Web","complete","addB944",,,,,,,
"21","paste","2019-03-05T12:09:58.681Z",,"Excel","complete","addB944",,,,,,"A","5"
"21","saveFile","2019-03-05T12:10:00.914Z","save","Excel","complete",,,,,,,,
"21","clickButton","2019-03-05T12:10:03.594Z","ConfirmWithFile","Web","complete",,,,,,,,
"22","clickButton","2019-03-05T12:10:16.124Z","Clients","Web","complete",,,,,,,,
"22","insertValue","2019-03-05T12:10:20.425Z","clientID","Web","complete","ID1389",,,,,,,
"22","pressKey","2019-03-05T12:10:29.000Z",,"Web","complete",,"enter",,,,,,
"22","clickButton","2019-03-05T12:10:32.309Z","update","Web","complete",,,"ID1389",,,,,
"22","insertValue","2019-03-05T12:10:34.763Z","address","Web","complete","addA1008addB1964",,,,,,,
"22","insertValue","2019-03-05T12:10:36.448Z","country","Web","complete","Australia",,,,,,,
"22","openFile","2019-03-05T12:10:38.816Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1389",,
"22","copy","2019-03-05T12:10:50.612Z","address","Web","complete","addB1964",,,,,,,
"22","paste","2019-03-05T12:10:57.853Z",,"Excel","complete","addB1964",,,,,,"A","5"
"22","saveFile","2019-03-05T12:11:00.953Z","save","Excel","complete",,,,,,,,
"22","clickButton","2019-03-05T12:11:03.564Z","ConfirmWithFile","Web","complete",,,,,,,,
"23","clickButton","2019-03-05T12:11:15.122Z","Clients","Web","complete",,,,,,,,
"23","insertValue","2019-03-05T12:11:17.450Z","clientID","Web","complete","ID971",,,,,,,
"23","pressKey","2019-03-05T12:11:18.840Z",,"Web","complete",,"enter",,,,,,
"23","clickButton","2019-03-05T12:11:22.571Z","update","Web","complete",,,"ID971",,,,,
"23","insertValue","2019-03-05T12:11:26.712Z","address","Web","complete","addA911addB574",,,,,,,
"23","insertValue","2019-03-05T12:11:35.005Z","country","Web","complete","Country93",,,,,,,
"23","clickButton","2019-03-05T12:11:40.408Z","UnbindFile","Web","complete",,,,,,,,
"23","clickButton","2019-03-05T12:11:41.541Z","OK","Web","complete",,,,,,,,
"23","clickButton","2019-03-05T12:11:45.841Z","Confirm","Web","complete",,,,,,,,
"24","clickButton","2019-03-05T12:11:57.779Z","Clients","Web","complete",,,,,,,,
"24","insertValue","2019-03-05T12:11:58.802Z","clientID","Web","complete","ID1103",,,,,,,
"24","pressKey","2019-03-05T12:12:06.651Z",,"Web","complete",,"enter",,,,,,
"24","clickButton","2019-03-05T12:12:08.599Z","update","Web","complete",,,"ID1103",,,,,
"24","insertValue","2019-03-05T12:12:11.053Z","address","Web","complete","addA874addB767",,,,,,,
"24","insertValue","2019-03-05T12:12:18.591Z","country","Web","complete","Country5",,,,,,,
"24","clickButton","2019-03-05T12:12:30.855Z","UnbindFile","Web","complete",,,,,,,,
"24","clickButton","2019-03-05T12:12:33.271Z","OK","Web","complete",,,,,,,,
"24","clickButton","2019-03-05T12:12:36.522Z","Confirm","Web","complete",,,,,,,,
"25","clickButton","2019-03-05T12:12:49.295Z","Clients","Web","complete",,,,,,,,
"25","insertValue","2019-03-05T12:12:52.192Z","clientID","Web","complete","ID1108",,,,,,,
"25","pressKey","2019-03-05T12:13:04.854Z",,"Web","complete",,"enter",,,,,,
"25","clickButton","2019-03-05T12:13:06.573Z","update","Web","complete",,,"ID1108",,,,,
"25","insertValue","2019-03-05T12:13:08.525Z","address","Web","complete","addA766addB1433",,,,,,,
"25","insertValue","2019-03-05T12:13:14.588Z","country","Web","complete","Australia",,,,,,,
"25","openFile","2019-03-05T12:13:28.875Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1108",,
"25","copy","2019-03-05T12:13:42.610Z","address","Web","complete","addB1433",,,,,,,
"25","paste","2019-03-05T12:13:57.966Z",,"Excel","complete","addB1433",,,,,,"A","5"
"25","saveFile","2019-03-05T12:14:00.238Z","save","Excel","complete",,,,,,,,
"25","clickButton","2019-03-05T12:14:03.889Z","ConfirmWithFile","Web","complete",,,,,,,,
"26","clickButton","2019-03-05T12:14:17.622Z","Clients","Web","complete",,,,,,,,
"26","insertValue","2019-03-05T12:14:20.485Z","clientID","Web","complete","ID690",,,,,,,
"26","pressKey","2019-03-05T12:14:31.499Z",,"Web","complete",,"enter",,,,,,
"26","clickButton","2019-03-05T12:14:33.713Z","update","Web","complete",,,"ID690",,,,,
"26","insertValue","2019-03-05T12:14:34.391Z","address","Web","complete","addA152addB1644",,,,,,,
"26","insertValue","2019-03-05T12:14:34.391Z","country","Web","complete","Australia",,,,,,,
"26","openFile","2019-03-05T12:14:40.691Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID690",,
"26","copy","2019-03-05T12:14:49.603Z","address","Web","complete","addB1644",,,,,,,
"26","paste","2019-03-05T12:14:57.955Z",,"Excel","complete","addB1644",,,,,,"A","5"
"26","saveFile","2019-03-05T12:15:01.100Z","save","Excel","complete",,,,,,,,
"26","clickButton","2019-03-05T12:15:04.075Z","ConfirmWithFile","Web","complete",,,,,,,,
"27","clickButton","2019-03-05T12:15:16.066Z","Clients","Web","complete",,,,,,,,
"27","insertValue","2019-03-05T12:15:18.618Z","clientID","Web","complete","ID1320",,,,,,,
"27","pressKey","2019-03-05T12:15:23.923Z",,"Web","complete",,"enter",,,,,,
"27","clickButton","2019-03-05T12:15:28.431Z","update","Web","complete",,,"ID1320",,,,,
"27","insertValue","2019-03-05T12:15:33.876Z","address","Web","complete","addA1002addB1173",,,,,,,
"27","insertValue","2019-03-05T12:15:35.314Z","country","Web","complete","Country38",,,,,,,
"27","clickButton","2019-03-05T12:15:47.653Z","UnbindFile","Web","complete",,,,,,,,
"27","clickButton","2019-03-05T12:15:52.796Z","OK","Web","complete",,,,,,,,
"27","clickButton","2019-03-05T12:15:56.323Z","Confirm","Web","complete",,,,,,,,
"28","clickButton","2019-03-05T12:16:10.813Z","Clients","Web","complete",,,,,,,,
"28","insertValue","2019-03-05T12:16:14.848Z","clientID","Web","complete","ID1637",,,,,,,
"28","pressKey","2019-03-05T12:16:15.564Z",,"Web","complete",,"enter",,,,,,
"28","clickButton","2019-03-05T12:16:18.003Z","update","Web","complete",,,"ID1637",,,,,
"28","insertValue","2019-03-05T12:16:19.672Z","address","Web","complete","addA951addB1455",,,,,,,
"28","insertValue","2019-03-05T12:16:28.067Z","country","Web","complete","Australia",,,,,,,
"28","openFile","2019-03-05T12:16:38.277Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1637",,
"28","copy","2019-03-05T12:16:49.345Z","address","Web","complete","addB1455",,,,,,,
"28","paste","2019-03-05T12:17:08.302Z",,"Excel","complete","addB1455",,,,,,"A","5"
"28","saveFile","2019-03-05T12:17:12.279Z","save","Excel","complete",,,,,,,,
"28","clickButton","2019-03-05T12:17:14.795Z","ConfirmWithFile","Web","complete",,,,,,,,
"29","clickButton","2019-03-05T12:17:27.904Z","Clients","Web","complete",,,,,,,,
"29","insertValue","2019-03-05T12:17:30.170Z","clientID","Web","complete","ID1861",,,,,,,
"29","pressKey","2019-03-05T12:17:35.641Z",,"Web","complete",,"enter",,,,,,
"29","clickButton","2019-03-05T12:17:37.421Z","update","Web","complete",,,"ID1861",,,,,
"29","insertValue","2019-03-05T12:17:42.445Z","address","Web","complete","addA745addB720",,,,,,,
"29","insertValue","2019-03-05T12:18:02.001Z","country","Web","complete","Country139",,,,,,,
"29","clickButton","2019-03-05T12:18:09.552Z","UnbindFile","Web","complete",,,,,,,,
"29","clickButton","2019-03-05T12:18:12.921Z","OK","Web","complete",,,,,,,,
"29","clickButton","2019-03-05T12:18:16.457Z","Confirm","Web","complete",,,,,,,,
"30","clickButton","2019-03-05T12:18:29.512Z","Clients","Web","complete",,,,,,,,
"30","insertValue","2019-03-05T12:18:31.561Z","clientID","Web","complete","ID1309",,,,,,,
"30","pressKey","2019-03-05T12:18:32.376Z",,"Web","complete",,"enter",,,,,,
"30","clickButton","2019-03-05T12:18:36.095Z","update","Web","complete",,,"ID1309",,,,,
"30","insertValue","2019-03-05T12:18:39.037Z","address","Web","complete","addA261addB1492",,,,,,,
"30","insertValue","2019-03-05T12:18:46.190Z","country","Web","complete","Australia",,,,,,,
"30","openFile","2019-03-05T12:18:49.949Z",,"Excel","complete",,,,"C:/Customers/Australia/","xls","ID1309",,
